"siteid","spid","x","y","occ","group","bc01","bc04","bc05","bc06","bc12","bc15","bc17","bc20","bc31","bc33","slope","topo","tri"
100018,"pseudo1",390535.8252,8030807.848,0,NA,23.3,0.92,30.9,14.3,3526,75,279,17.8,14,0.73,0.3031918,0,425.8298
100019,"pseudo1",344215.8252,8136967.848,0,NA,22.4,0.9,30.4,13,1353,103,59,19.4,62,0.13,6.642732,62,151.3341
100020,"pseudo1",438375.8252,7864407.848,0,NA,20.8,1.12,29.8,10.7,1259,105,56,19.5,53,0.17,32.72231,71,811.3119
100021,"pseudo1",346055.8252,8004727.848,0,NA,20.3,1.05,29.5,10.1,1426,80,107,19.2,34,0.38,10.43694,11,405.7364
100022,"pseudo1",394615.8252,7908487.848,0,NA,20.4,1.11,29.5,10.4,1263,100,66,19.5,48,0.22,0.4108325,0,178.334
100023,"pseudo1",393975.8252,8004407.848,0,NA,23.7,0.94,31.4,14.3,2717,87,181,18.3,27,0.5,0.001656115,50,2.44949
100024,"pseudo1",355015.8252,8057287.848,0,NA,19.9,0.98,28.7,10.5,2637,69,227,18.2,14,0.73,4.137942,1,282.7702
100025,"pseudo1",385175.8252,8014407.848,0,NA,23.7,0.94,31.5,14.1,3418,77,270,17.9,16,0.69,0.125038,86,138.398
100026,"pseudo1",421975.8252,7942247.848,0,NA,23.9,0.97,31.5,14.3,1987,98,103,18.8,44,0.26,0.5020112,100,19.87461
100027,"pseudo1",381335.8252,8064807.848,0,NA,23.2,0.9,30.8,14.3,3538,78,282,17.8,15,0.71,10.80696,33,232.6349
100028,"pseudo1",313815.8252,8234727.848,0,NA,22.9,0.86,29.7,15.2,2181,93,111,18.8,47,0.23,2.365959,0,333.5656
100029,"pseudo1",435975.8252,7873847.848,0,NA,20.7,1.1,29.5,10.8,1398,104,65,19.3,49,0.2,8.020909,87,526.5729
100030,"pseudo1",397575.8252,8028567.848,0,NA,23.3,0.92,30.8,14.5,3388,77,257,17.9,16,0.69,19.47999,28,407.3267
100031,"pseudo1",407255.8252,7980007.848,0,NA,21.7,0.98,29.6,12.7,2420,89,163,18.5,26,0.51,60.10375,35,1404.881
100032,"pseudo1",304775.8252,8172087.848,0,NA,20.2,0.95,28.5,10.9,1448,95,74,19.3,52,0.18,22.66327,100,694.4249
100033,"pseudo1",300615.8252,8208247.848,0,NA,20.7,0.93,28.5,12.1,1730,91,99,19,46,0.23,9.611642,52,506.6557
100034,"pseudo1",337895.8252,8104407.848,0,NA,21.4,0.94,30.3,11.3,1108,104,38,19.7,67,0.09999999,8.716245,39,260.8601
100035,"pseudo1",359655.8252,8105127.848,0,NA,21.7,0.91,29.8,12.6,1952,87,118,18.8,39,0.31,51.20673,100,1877.705
100036,"pseudo1",421095.8252,7948887.848,0,NA,23.9,0.96,31.4,14.4,2035,97,107,18.8,42,0.27,0.219626,50,8.544003
100037,"pseudo1",417575.8252,7971367.848,0,NA,23.3,0.95,30.8,14.1,2279,94,128,18.6,35,0.36,16.50514,49,347.5227
100038,"pseudo1",385895.8252,8002247.848,0,NA,23.8,0.95,31.6,14.1,2558,89,158,18.4,29,0.46,0.3214239,93,13.92839
100039,"pseudo1",396295.8252,7938407.848,0,NA,24,1,32.1,13.6,1773,100,89,19,49,0.22,0.09587012,50,20.37155
100040,"pseudo1",483655.8252,7834647.848,0,NA,23.6,1.08,31.9,12.4,916,106,41,19.8,76,0.09,0.5179767,97,18.38478
100041,"pseudo1",299575.8252,8203127.848,0,NA,19.9,0.94,27.9,11.3,1827,89,113,18.9,40,0.29,7.887814,14,188.4648
100042,"pseudo1",358615.8252,8083607.848,0,NA,19.8,0.95,28.3,10.8,2273,74,177,18.4,23,0.57,0.9795151,32,147.2956
100043,"pseudo1",345575.8252,8110247.848,0,NA,18.8,0.96,27.5,10,2101,81,146,18.6,26,0.51,30.05244,72,887.9059
100044,"pseudo1",310935.8252,8235847.848,0,NA,21.9,0.89,28.9,14.1,2163,90,124,18.7,43,0.27,35.33776,78,750.5464
100045,"pseudo1",367335.8252,8052327.848,0,NA,21.6,0.96,29.8,12.2,3056,73,260,18,13,0.75,6.246185,1,331.9322
100046,"pseudo1",267975.8252,8215607.848,0,NA,21.2,0.96,29.2,11.7,1143,106,36,19.7,72,0.08,36.87456,70,359.4037
100047,"pseudo1",390775.8252,8081527.848,0,NA,23.6,0.86,30.8,15.4,4120,75,322,17.6,12,0.78,0,50,250.3517
100048,"pseudo1",388935.8252,7967207.848,0,NA,21.8,1.02,30.2,12.1,1822,94,112,18.9,37,0.35,52.55441,71,1992.217
100049,"pseudo1",389655.8252,7978647.848,0,NA,23.3,0.98,31.4,13.5,2024,97,100,18.8,40,0.3,17.64424,100,714.2969
100050,"pseudo1",348695.8252,8051287.848,0,NA,18.2,1.02,27.2,9.1,2559,71,213,18.2,11,0.79,32.46776,61,408.7664
100051,"pseudo1",464695.8252,7869207.848,0,NA,23.9,1.01,31.3,13.7,1074,109,42,19.6,72,0.09999999,0.5195066,41,19.51922
100052,"pseudo1",295255.8252,8250887.848,0,NA,22.9,0.89,29.8,14.7,1553,104,53,19.3,66,0.09999999,0,100,98.50381
100053,"pseudo1",327255.8252,8075287.848,0,NA,19.4,1,28.4,9.400001,1232,88,68,19.4,45,0.24,11.7623,8,241.5388
100054,"pseudo1",301495.8252,8211767.848,0,NA,22.6,0.9,29.8,14.1,1802,95,85,19,53,0.18,0.5076166,100,170.8537
100055,"pseudo1",352135.8252,8037127.848,0,NA,22.6,0.98,31.1,12.3,2313,75,182,18.4,27,0.49,8.964625,73,668.9529
100056,"pseudo1",369015.8252,8026727.848,0,NA,23.4,0.95,31.5,13.5,3323,74,294,17.8,15,0.71,0.801778,47,375.2639
100057,"pseudo1",384055.8252,7997447.848,0,NA,23.7,0.96,31.7,13.9,2274,94,116,18.6,35,0.37,0.8625199,1,33.97058
100058,"pseudo1",420135.8252,7964487.848,0,NA,23.8,0.95,31.2,14.5,2171,95,118,18.7,39,0.31,0,50,45.59605
100059,"pseudo1",385575.8252,8093287.848,0,NA,23.9,0.84,30.9,15.7,3891,78,291,17.7,16,0.7,0.1353923,50,648.5661
100060,"pseudo1",366935.8252,8125127.848,0,NA,24.4,0.81,31.3,16.2,2125,95,103,18.8,49,0.22,0.8436401,15,31.14482
100061,"pseudo1",360215.8252,8112487.848,0,NA,22.3,0.89,30.2,13.3,1971,90,114,18.8,42,0.27,31.81892,0,2032.439
100062,"pseudo1",372695.8252,8085367.848,0,NA,23,0.89,30.6,14.1,3293,78,248,17.9,20,0.62,21.23394,78,399.5898
100063,"pseudo1",299655.8252,8298007.848,0,NA,24.5,0.74,31.2,17.3,1665,105,52,19.3,65,0.09999999,5.595676,37,239.4473
100064,"pseudo1",359415.8252,7987607.848,0,NA,20.6,1.05,29.6,10.6,1400,88,104,19.3,38,0.33,11.38364,47,256.2499
100065,"pseudo1",380455.8252,7950167.848,0,NA,23.8,1.01,32.2,13.2,1599,99,78,19.2,52,0.2,0,50,40.43513
100066,"pseudo1",303575.8252,8280087.848,0,NA,24.6,0.76,31.2,17.3,1621,105,51,19.3,67,0.09999999,0.3936929,0,363.6193
100067,"pseudo1",392295.8252,7924087.848,0,NA,22.9,1.04,31.4,12.5,1398,102,65,19.4,55,0.17,36.71742,16,1317.435
100068,"pseudo1",370055.8252,8077207.848,0,NA,20.3,0.94,28.5,11.6,3335,68,283,17.9,10,0.8,18.36172,14,904.3915
100069,"pseudo1",386935.8252,8069767.848,0,NA,23.3,0.89,30.7,14.7,3774,76,298,17.7,13,0.74,18.99729,65,380.0553
100070,"pseudo1",345815.8252,8038167.848,0,NA,19.4,1.02,28.5,9.7,2005,74,158,18.6,21,0.59,5.039949,99,218.7281
100071,"pseudo1",326775.8252,8087607.848,0,NA,18,1.01,27.1,8.7,1829,82,122,18.8,26,0.5,18.77197,100,719.6068
100072,"pseudo1",269735.8252,8196967.848,0,NA,21.2,0.96,29.4,11.4,1031,107,30,19.8,75,0.07,1.309071,0,315.8164
100073,"pseudo1",355175.8252,8116247.848,0,NA,18.9,0.94,27.3,10.5,2482,78,183,18.3,21,0.61,33.89766,36,720.4089
100074,"pseudo1",361015.8252,8072487.848,0,NA,20.3,0.96,28.8,11.2,2951,68,252,18,14,0.74,0,50,348.8409
100075,"pseudo1",420215.8252,7915767.848,0,NA,24,1,31.9,13.9,1832,105,78,19,51,0.21,0.4011657,5,14.62874
100076,"pseudo1",367335.8252,8115127.848,0,NA,24,0.83,31.2,15.6,2065,97,96,18.8,50,0.21,17.78791,11,694.8842
100077,"pseudo1",362855.8252,8080727.848,0,NA,19.9,0.95,28.3,11,2739,70,227,18.1,16,0.7,2.799762,47,203.1576
100078,"pseudo1",363735.8252,8049527.848,0,NA,20.9,0.97,29.4,11.5,2917,70,252,18,13,0.75,18.94581,13,440.5621
100079,"pseudo1",349095.8252,8152727.848,0,NA,21.9,0.88,29.5,13.4,1950,90,111,18.8,43,0.26,15.4787,90,1362.445
100080,"pseudo1",431975.8252,7890727.848,0,NA,23.7,1.03,31.6,13.4,1414,108,55,19.3,61,0.14,0,0,82.09142
100081,"pseudo1",343655.8252,8064087.848,0,NA,18.3,1.01,27.3,9.1,2299,72,193,18.4,15,0.71,16.97285,21,236.1885
100082,"pseudo1",485815.8252,7823367.848,0,NA,23.5,1.12,32.1,11.7,889,104,41,19.9,76,0.09,5.362742,21,227.9737
100083,"pseudo1",407575.8252,7916087.848,0,NA,23.9,1.02,32,13.5,1723,105,74,19.1,53,0.19,0,0,496.0706
100084,"pseudo1",376935.8252,7945127.848,0,NA,20.9,1.07,29.9,10.8,1360,94,84,19.4,44,0.26,14.33438,75,213.6001
100085,"pseudo1",338615.8252,8067527.848,0,NA,18.2,1.01,27.2,8.900001,2142,73,173,18.5,18,0.66,9.027843,0,312.8434
100086,"pseudo1",397495.8252,8020007.848,0,NA,23.3,0.93,30.9,14.3,3294,78,248,17.9,17,0.67,13.48104,7,628.1242
100087,"pseudo1",487815.8252,7859687.848,0,NA,23.6,1.01,31,13.7,1058,109,44,19.6,71,0.09999999,10.45419,15,388.9203
100088,"pseudo1",357175.8252,8087927.848,0,NA,20,0.95,28.6,11,1983,79,140,18.7,29,0.45,17.01793,50,282.5721
100089,"pseudo1",381255.8252,7920887.848,0,NA,20.6,1.1,29.8,10.4,1239,96,70,19.5,47,0.22,4.290673,75,155.8589
100090,"pseudo1",362535.8252,8040967.848,0,NA,19.9,0.9899999,28.6,10.6,2913,69,260,18,9,0.82,17.84874,14,492.6165
100091,"pseudo1",350135.8252,8122647.848,0,NA,21.8,0.91,30.1,12.4,1491,98,71,19.3,54,0.17,0,0,455.3394
100092,"pseudo1",393895.8252,8079287.848,0,NA,23.6,0.86,30.7,15.4,4000,75,310,17.6,13,0.76,0,50,68.30813
100093,"pseudo1",370295.8252,8078487.848,0,NA,19.5,0.95,27.8,11,3327,68,288,17.8,8,0.85,16.72795,48,719.2885
100094,"pseudo1",400535.8252,7906807.848,0,NA,20.4,1.1,29.5,10.5,1323,101,68,19.4,47,0.22,4.419417,0,225.6613
100095,"pseudo1",317735.8252,8258887.848,0,NA,23.2,0.81,29.8,16,2054,95,95,18.9,51,0.19,11.34657,0,1217.961
100096,"pseudo1",483415.8252,7833607.848,0,NA,23.6,1.09,31.9,12.3,912,106,41,19.9,76,0.09,0.1770612,0,10.24695
100097,"pseudo1",400055.8252,8069447.848,0,NA,23.5,0.87,30.6,15.3,3552,75,266,17.8,17,0.67,1.285147,0,58.11196
100098,"pseudo1",384215.8252,8067607.848,0,NA,22.6,0.9,30.2,14,3667,75,295,17.7,12,0.78,29.61829,100,1016.262
100099,"pseudo1",416695.8252,7911767.848,0,NA,23.9,1.01,31.9,13.7,1792,106,73,19,52,0.2,1.009409,5,39.31921
100100,"pseudo1",301735.8252,8294247.848,0,NA,24.8,0.73,31.4,17.7,1640,105,50,19.3,67,0.09999999,0.5439041,15,23.70654
100101,"pseudo1",397255.8252,8036087.848,0,NA,23.5,0.91,30.9,14.7,3381,77,254,17.9,17,0.67,0,50,16.09348
100102,"pseudo1",363815.8252,7947447.848,0,NA,20.6,1.09,29.8,10.2,1213,92,78,19.5,46,0.24,16.60343,80,381.3371
100103,"pseudo1",350135.8252,8004407.848,0,NA,19.9,1.05,29.1,9.900001,1671,77,134,19,27,0.48,4.213354,38,308.9887
100104,"pseudo1",334135.8252,8094487.848,0,NA,19.4,0.98,28.4,9.8,1360,90,73,19.3,45,0.24,4.533703,35,201.3629
100105,"pseudo1",429895.8252,7893127.848,0,NA,20.7,1.08,29.3,11.1,1622,103,80,19.1,43,0.27,24.6914,49,832.707
100106,"pseudo1",355015.8252,8059927.848,0,NA,20.3,0.98,29,10.8,2603,69,222,18.2,16,0.69,7.147308,31,257.4199
100107,"pseudo1",374855.8252,7989287.848,0,NA,22.2,1,30.6,12.3,1883,90,123,18.8,34,0.38,33.10456,53,779.1778
100108,"pseudo1",325415.8252,8160567.848,0,NA,22,0.91,29.9,12.7,1342,102,57,19.5,62,0.12,29.1415,74,429.5812
100109,"pseudo1",374375.8252,8060407.848,0,NA,22.2,0.93,30.1,13.1,3354,75,278,17.9,13,0.76,38.21747,42,840.8216
100110,"pseudo1",277975.8252,8184647.848,0,NA,20.7,0.96,29.1,10.9,1112,104,41,19.7,68,0.09999999,3.70304,0,241.0187
100111,"pseudo1",481575.8252,7868087.848,0,NA,23.9,0.9899999,31,14.1,1093,109,44,19.6,71,0.09999999,0.008545646,50,0
100112,"pseudo1",314135.8252,8177447.848,0,NA,18.1,0.96,26.6,9.8,2490,80,186,18.3,22,0.59,23.41545,30,720.2354
100113,"pseudo1",389335.8252,8040967.848,0,NA,22.5,0.93,30.2,13.8,3449,76,276,17.8,12,0.77,44.00871,80,1043.695
100114,"pseudo1",377735.8252,7967847.848,0,NA,23.4,1,31.7,13,1694,99,83,19.1,47,0.24,10.03173,15,565.498
100115,"pseudo1",323415.8252,8194327.848,0,NA,23.3,0.84,30.2,15.4,2468,88,143,18.5,39,0.31,4.050741,25,163.3585
100116,"pseudo1",414455.8252,7970087.848,0,NA,23.8,0.95,31.3,14.4,2194,95,118,18.7,39,0.32,1.353304,88,56
100117,"pseudo1",283175.8252,8179207.848,0,NA,22.3,0.94,30.4,12.3,833,114,0,20.1,88,0.04,6.316665,7,276.9188
100118,"pseudo1",311255.8252,8282007.848,0,NA,24.7,0.74,31.2,17.7,1711,103,60,19.2,63,0.11,0,50,0
100119,"pseudo1",274135.8252,8223687.848,0,NA,21.6,0.96,29.3,12.3,1199,107,36,19.6,73,0.08,8.87078,0,164.8818
100120,"pseudo1",347415.8252,8000407.848,0,NA,20.1,1.06,29.3,9.900001,1448,80,110,19.2,33,0.39,13.93845,99,302.5343
100121,"pseudo1",362295.8252,8069527.848,0,NA,20.9,0.95,29.3,11.6,2902,70,240,18.1,16,0.69,10.33834,67,345.2695
100122,"pseudo1",410935.8252,7954967.848,0,NA,23.8,0.97,31.5,14.1,2056,97,108,18.8,42,0.28,21.05938,22,472.1801
100123,"pseudo1",471255.8252,7847527.848,0,NA,23.8,1.06,31.7,12.9,893,108,37,19.9,78,0.08,0.2657588,2,15.36229
100124,"pseudo1",295175.8252,8259367.848,0,NA,22.6,0.88,29.6,14.5,1609,102,60,19.3,62,0.12,16.2288,56,452.0542
100125,"pseudo1",375255.8252,7982967.848,0,NA,19.5,1.05,28.4,10.1,2113,80,174,18.6,20,0.6,46.97517,64,1187.175
100126,"pseudo1",300775.8252,8242567.848,0,NA,22.1,0.9,29.2,14,1805,96,83,19,54,0.17,35.30756,33,989.4478
100127,"pseudo1",338135.8252,8144647.848,0,NA,21.9,0.91,30,12.5,1368,101,60,19.4,60,0.13,0,50,100.3693
100128,"pseudo1",423095.8252,7961607.848,0,NA,22.3,0.97,30,13.4,2324,93,136,18.6,32,0.41,49.86933,84,1673.465
100129,"pseudo1",383495.8252,8094407.848,0,NA,21.9,0.88,29.4,13.8,3416,74,259,17.9,17,0.69,11.56792,0,766.6212
100130,"pseudo1",314855.8252,8182887.848,0,NA,18.2,0.96,26.6,10,2528,80,191,18.3,22,0.59,26.62468,15,1344.605
100131,"pseudo1",278695.8252,8206487.848,0,NA,18.6,0.97,27.2,9.900001,1956,87,127,18.8,34,0.37,7.702378,1,329.196
100132,"pseudo1",276135.8252,8209447.848,0,NA,19.6,0.96,28,10.6,1622,92,90,19.1,46,0.23,30.80808,45,1235.355
100133,"pseudo1",279415.8252,8215527.848,0,NA,20.7,0.96,28.7,11.6,1377,99,60,19.4,60,0.14,36.44793,26,982.3126
100134,"pseudo1",346775.8252,8083607.848,0,NA,20.2,0.96,29,10.6,1543,85,96,19.1,39,0.31,1.99291,0,184.1032
100135,"pseudo1",367175.8252,8121847.848,0,NA,24.3,0.82,31.3,16.1,2101,96,99,18.8,50,0.21,0,50,0
100136,"pseudo1",421495.8252,7931287.848,0,NA,24,0.98,31.7,14.2,1913,101,94,18.9,46,0.24,0.2030177,50,13.96424
100137,"pseudo1",398535.8252,7935287.848,0,NA,24,1,32.1,13.6,1775,100,88,19,49,0.22,0.426979,4,15.52417
100138,"pseudo1",448215.8252,7871607.848,0,NA,23.6,1.04,31.5,13.3,1107,108,43,19.6,70,0.11,14.28121,16,851.5204
100139,"pseudo1",392455.8252,8086247.848,0,NA,23.2,0.85,30.4,15.3,4134,75,324,17.6,10,0.81,46.68104,60,922.0152
100140,"pseudo1",331095.8252,8214407.848,0,NA,23,0.82,29.7,15.7,2990,84,198,18.2,30,0.44,34.70356,83,1323.92
100141,"pseudo1",478855.8252,7834247.848,0,NA,23.5,1.09,31.9,12.2,907,105,41,19.9,76,0.09,1.345579,100,60.5062
100142,"pseudo1",300775.8252,8193607.848,0,NA,20.1,0.95,28.2,11.2,1677,91,97,19,45,0.24,14.6874,67,521.4202
100143,"pseudo1",378455.8252,7989527.848,0,NA,19.3,1.04,28.1,10.1,2396,78,203,18.4,15,0.71,9.888927,100,871.0798
100144,"pseudo1",363735.8252,8046087.848,0,NA,20.7,0.98,29.2,11.3,2909,70,255,18,12,0.77,31.25318,56,520.2413
100145,"pseudo1",272535.8252,8193847.848,0,NA,20.5,0.96,28.9,10.9,1191,102,47,19.6,65,0.11,6.527726,40,411.7268
100146,"pseudo1",343175.8252,8008407.848,0,NA,20.2,1.05,29.5,10,1430,79,107,19.2,33,0.38,10.18361,34,471.9576
100147,"pseudo1",391095.8252,8090887.848,0,NA,21.3,0.88,28.8,13.6,3751,72,295,17.7,11,0.79,16.78568,100,926.2365
100148,"pseudo1",366535.8252,8132647.848,0,NA,24.4,0.8,31.2,16.5,2120,95,106,18.7,49,0.22,1.783512,10,453.7334
100149,"pseudo1",295575.8252,8249847.848,0,NA,22.6,0.9,29.6,14.4,1587,102,58,19.3,63,0.12,14.49814,74,366.9646
100150,"pseudo1",378375.8252,8066327.848,0,NA,23.4,0.9,31,14.4,3519,78,280,17.8,16,0.69,0.1220977,100,121.6347
100151,"pseudo1",435655.8252,7891767.848,0,NA,23.9,1.02,31.6,13.7,1433,108,56,19.3,61,0.14,1.294829,0,91.43304
100152,"pseudo1",497095.8252,7838487.848,0,NA,20.2,1.13,29,10.2,1305,99,78,19.3,48,0.21,42.76835,38,824.4835
100153,"pseudo1",455255.8252,7864087.848,0,NA,23.7,1.04,31.5,13.2,1012,108,40,19.7,73,0.09,0.5593674,52,21.42429
100154,"pseudo1",303415.8252,8304807.848,0,NA,24,0.74,30.7,16.9,1768,102,62,19.2,61,0.12,20.93424,61,732.0308
100155,"pseudo1",403095.8252,8035127.848,0,NA,23.5,0.9,30.8,14.8,3291,78,239,17.9,18,0.64,0,50,185.0676
100156,"pseudo1",398135.8252,7943607.848,0,NA,23.9,1,32,13.7,1848,98,96,19,47,0.24,0.2302915,50,8.602325
100157,"pseudo1",309415.8252,8211767.848,0,NA,22.5,0.88,29.6,14.2,2062,91,111,18.8,46,0.24,3.72693,100,161.9074
100158,"pseudo1",350215.8252,8100487.848,0,NA,20.3,0.94,28.9,11.1,1419,95,70,19.3,49,0.2,17.13458,21,351.188
100159,"pseudo1",408535.8252,8048087.848,0,NA,23.5,0.88,30.6,15.2,3314,78,232,17.9,19,0.63,2.028101,82,68.20557
100160,"pseudo1",424535.8252,7898647.848,0,NA,22.9,1.04,31,12.8,1468,106,61,19.3,56,0.17,23.34941,0,956.7675
100161,"pseudo1",297815.8252,8277687.848,0,NA,23.8,0.8,30.6,16.3,1601,105,52,19.3,66,0.09999999,20.19063,54,325.4397
100162,"pseudo1",349415.8252,8110567.848,0,NA,18,0.97,26.6,9.6,2891,74,231,18,11,0.8,43.02572,63,849.7911
100163,"pseudo1",360455.8252,8006967.848,0,NA,22,1,30.7,11.9,1883,83,139,18.8,31,0.42,12.64052,99,1060.569
100164,"pseudo1",286775.8252,8205687.848,0,NA,17.5,0.97,26.2,9.400001,2503,81,189,18.4,21,0.6,9.224113,96,398.8709
100165,"pseudo1",261655.8252,8200967.848,0,NA,20.5,0.97,29,10.8,1157,104,41,19.6,68,0.09999999,17.06004,10,1045.413
100166,"pseudo1",378535.8252,7990007.848,0,NA,19.9,1.03,28.6,10.6,2179,80,182,18.5,20,0.6,34.86926,42,841.6882
100167,"pseudo1",361895.8252,7978407.848,0,NA,20.8,1.05,29.8,10.7,1337,91,94,19.4,41,0.3,13.50595,100,341.5377
100168,"pseudo1",351095.8252,8056727.848,0,NA,19.6,0.9899999,28.5,10.2,2392,71,201,18.3,17,0.68,18.44724,0,369.2831
100169,"pseudo1",381735.8252,8108967.848,0,NA,19.9,0.9,27.7,12.3,3266,74,256,17.9,13,0.76,44.20942,68,1500.598
100170,"pseudo1",341975.8252,8050647.848,0,NA,19,1.02,28,9.400001,1722,79,123,18.9,26,0.5,8.540919,52,214.8721
100171,"pseudo1",402535.8252,7904247.848,0,NA,20.6,1.1,29.6,10.7,1235,103,61,19.5,51,0.19,2.139726,100,177.6232
100172,"pseudo1",372455.8252,8081847.848,0,NA,21.3,0.92,29.3,12.6,3209,71,248,18,17,0.69,32.09299,23,1591.38
100173,"pseudo1",400615.8252,7958487.848,0,NA,23.8,0.98,31.7,13.9,1997,96,105,18.8,43,0.27,0.3305539,50,18.1659
100174,"pseudo1",314855.8252,8306247.848,0,NA,25,0.7,31.4,18.2,1744,101,60,19.2,63,0.11,1.105561,57,43.68066
100175,"pseudo1",385415.8252,8026727.848,0,NA,20.8,0.97,29,11.9,3190,73,277,17.9,8,0.84,32.24208,52,952.8641
100176,"pseudo1",404615.8252,8056407.848,0,NA,22.5,0.89,29.8,14.5,3617,76,272,17.8,13,0.76,12.12922,100,1052.616
100177,"pseudo1",370615.8252,8052727.848,0,NA,21.9,0.95,30,12.6,3193,74,271,17.9,12,0.77,0,50,389.009
100178,"pseudo1",363975.8252,8114727.848,0,NA,23.4,0.86,30.8,14.8,2102,94,111,18.8,45,0.25,24.29619,59,1096.499
100179,"pseudo1",382935.8252,7932647.848,0,NA,21,1.08,30,10.9,1316,96,75,19.4,47,0.23,54.37081,85,2139.694
100180,"pseudo1",398535.8252,7915447.848,0,NA,23,1.05,31.4,12.6,1392,103,63,19.4,56,0.17,17.32013,34,743.5496
100181,"pseudo1",321015.8252,8256007.848,0,NA,20.1,0.87,27.4,13.1,3035,80,253,18.1,22,0.6,22.43614,100,2308.876
100182,"pseudo1",377815.8252,7950807.848,0,NA,23.8,1.02,32.2,13.2,1552,99,75,19.2,53,0.19,5.750661,11,220.1658
100183,"pseudo1",374855.8252,8034007.848,0,NA,20.4,0.98,28.8,11.3,3154,70,281,17.9,7,0.85,37.21234,34,1108.237
100184,"pseudo1",436775.8252,7862887.848,0,NA,21.3,1.11,30.2,11,1142,106,47,19.6,59,0.14,24.8058,44,347.737
100185,"pseudo1",419495.8252,7934487.848,0,NA,24,0.98,31.6,14.2,1933,100,96,18.9,46,0.24,0.5253987,100,19.26136
100186,"pseudo1",294455.8252,8212167.848,0,NA,19.8,0.95,27.8,11.2,1877,88,119,18.9,39,0.3,11.88279,54,541.4213
100187,"pseudo1",313415.8252,8242167.848,0,NA,20.9,0.89,28.1,13.3,2467,85,175,18.5,32,0.41,31.69769,77,933.2668
100188,"pseudo1",346775.8252,8029527.848,0,NA,19.9,1.02,29,10,2090,72,176,18.6,19,0.62,15.30342,40,311.0289
100189,"pseudo1",379415.8252,7967127.848,0,NA,23.5,1,31.8,13.2,1726,99,83,19.1,47,0.24,7.001558,11,234.5378
100190,"pseudo1",351255.8252,8009127.848,0,NA,19.3,1.05,28.5,9.6,1962,74,162,18.7,20,0.6,4.932047,100,344.279
100191,"pseudo1",360615.8252,7981847.848,0,NA,21.2,1.04,30.1,11,1299,93,86,19.4,44,0.27,1.288532,35,200.9602
100192,"pseudo1",379255.8252,8127847.848,0,NA,23.2,0.81,30.1,15.7,2552,85,158,18.4,35,0.36,57.26845,46,1485.224
100193,"pseudo1",364855.8252,7996087.848,0,NA,20.5,1.03,29.3,10.7,1734,83,141,18.9,29,0.44,31.83647,100,1534.615
100194,"pseudo1",383815.8252,8021927.848,0,NA,22.7,0.95,30.6,13.4,3264,76,267,17.9,13,0.73,24.35023,12,1019.988
