"siteid","spid","x","y","occ","group","bcc","calc","ccc","ddeg","nutri","pday","precyy","sfroyy","slope","sradyy","swb","tavecc","topo"
100051,"pseudo1",1698287.5,14087.5,0,NA,2,0,98,2181,6.8125,31,2182,0,331,10753,21,-2,-15
100052,"pseudo1",1643787.5,159787.5,0,NA,0,1,0,2957,25,36,1164,0,127,15156,-47,0,-6
100053,"pseudo1",1705687.5,92987.5,0,NA,21,0,41,2143,13,45,1708,0,325,19342,41,-2,-241
100054,"pseudo1",1709787.5,143287.5,0,NA,10,0,52,3094,24,38,1220,0,48,16434,-6,0,-33
100055,"pseudo1",1714087.5,77387.5,0,NA,0,0,0,671,0,43,1726,2,364,16461,0,-7,-79
100056,"pseudo1",1797287.5,73387.5,0,NA,0,0,0,728,4.375,39,1091,3,339,12817,22,-8,-262
100057,"pseudo1",1788087.5,63787.5,0,NA,0,1,50,1585,7,35,1025,1,345,13600,9,-5,-420
100058,"pseudo1",1760987.5,53587.5,0,NA,0,0,0,837,0,38,1420,2,311,14333,0,-6,1
100059,"pseudo1",1555487.5,100187.5,0,NA,0,1,0,2551,12.8125,36,1430,0,137,20899,-68,-1,-45
100060,"pseudo1",1742587.5,109887.5,0,NA,0,0,6,1090,7,48,2045,1,186,13100,7,-6,56
100061,"pseudo1",1629987.5,106687.5,0,NA,14,0,35,2897,17,36,1224,0,112,15572,9,0,-19
100062,"pseudo1",1644687.5,97087.5,0,NA,6,0,6,2405,16.125,43,1737,0,288,11103,50,-1,105
100063,"pseudo1",1707387.5,178687.5,0,NA,0,0,0,3103,24,34,920,0,2,18250,-207,0,20
100064,"pseudo1",1563687.5,61187.5,0,NA,0,0,0,3090,17,31,1148,0,106,18422,-131,0,-7
100065,"pseudo1",1620987.5,47587.5,0,NA,15,0,17,2126,11.1875,41,1278,0,198,13778,0,-2,-89
100066,"pseudo1",1663987.5,168187.5,0,NA,14,1,29,3045,24,35,1226,0,93,16717,-74,0,33
100067,"pseudo1",1707887.5,35087.5,0,NA,8,0,4,1344,0,34,1971,0,572,7501,0,-4,196
100068,"pseudo1",1582287.5,93787.5,0,NA,66,0,33,3348,17,30,957,0,7,18281,-236,0,-4
100069,"pseudo1",1672387.5,90587.5,0,NA,0,0,0,3208,0,42,1295,0,82,18679,-25,0,-35
100070,"pseudo1",1673387.5,77787.5,0,NA,0,1,0,1079,12.6875,47,1911,1,366,22752,39,-5,-42
100071,"pseudo1",1542487.5,97987.5,0,NA,21,1,17,2009,17,39,1714,0,42,19194,28,-2,20
100072,"pseudo1",1592787.5,133287.5,0,NA,17,1,52,2256,11,38,1624,0,83,18539,16,-1,137
100073,"pseudo1",1778187.5,107687.5,0,NA,12,1,31,1687,12,43,1296,0,259,16449,36,-4,125
100074,"pseudo1",1564187.5,91687.5,0,NA,0,0,0,3275,0,31,1003,0,0,18423,-304,0,0
100075,"pseudo1",1602487.5,31387.5,0,NA,0,1,0,531,0,45,2106,5,381,22494,0,-8,161
100076,"pseudo1",1724487.5,107387.5,0,NA,0,1,100,2099,7,47,2037,0,429,10511,7,-2,22
100077,"pseudo1",1648487.5,95287.5,0,NA,0,0,0,2601,18,42,1663,0,64,19001,86,-1,-60
100078,"pseudo1",1815387.5,82387.5,0,NA,0,0,0,1888,13.875,35,839,0,172,20064,-124,-4,-125
100079,"pseudo1",1739487.5,116487.5,0,NA,0,1,0,1869,7,47,2001,0,526,14717,7,-3,-61
100080,"pseudo1",1694287.5,23387.5,0,NA,39,0,23,1607,3,32,2060,0,360,9338,8,-4,-105
100081,"pseudo1",1747587.5,88287.5,0,NA,0,0,0,1355,7,43,1549,0,168,14890,23,-4,29
100082,"pseudo1",1732787.5,-18712.5,0,NA,100,1,0,3145,7,31,1723,0,352,14550,-5,0,124
100083,"pseudo1",1751887.5,31587.5,0,NA,4,0,21,1484,2,35,1668,0,368,22622,2,-3,104
100084,"pseudo1",1565787.5,45087.5,0,NA,0,0,0,3481,0,33,1233,0,146,19939,-166,1,27
100085,"pseudo1",1646287.5,89687.5,0,NA,0,0,0,2669,26,42,1549,0,77,17650,85,-1,-56
100086,"pseudo1",1729687.5,70887.5,0,NA,0,0,0,850,2,40,1333,2,283,11688,6,-6,158
100087,"pseudo1",1631087.5,7387.5,0,NA,0,0,0,217,0,42,1754,14,66,18153,0,-11,-79
100088,"pseudo1",1775187.5,98187.5,0,NA,0,1,100,1819,7,41,1174,0,468,7717,22,-3,140
100089,"pseudo1",1703487.5,33587.5,0,NA,4,0,71,3354,7.1875,30,1811,0,403,8960,25,0,-159
100090,"pseudo1",1659187.5,78887.5,0,NA,0,0,0,2398,0,43,1467,0,371,16910,0,-1,-262
100091,"pseudo1",1634187.5,109187.5,0,NA,17,0,46,2855,25,37,1277,0,92,15613,52,0,-45
100092,"pseudo1",1665987.5,94687.5,0,NA,0,1,0,1634,12,44,1673,0,207,15447,37,-3,66
100093,"pseudo1",1733387.5,94387.5,0,NA,25,0,0,1744,13,47,1871,0,302,14532,48,-3,-131
100094,"pseudo1",1592187.5,28287.5,0,NA,0,1,0,825,0,45,2133,2,486,7188,0,-6,21
100095,"pseudo1",1706787.5,162587.5,0,NA,0,0,100,3055,24,36,1108,0,39,18585,-48,0,42
100096,"pseudo1",1589287.5,-10012.5,0,NA,0,1,0,1161,0,39,1584,1,434,7794,0,-5,-178
100097,"pseudo1",1782887.5,90487.5,0,NA,0,0,0,1140,12.5625,42,1225,0,44,19053,54,-6,32
100098,"pseudo1",1607987.5,89687.5,0,NA,0,0,0,2783,16.9375,36,1253,0,170,21906,-50,0,7
100099,"pseudo1",1748887.5,29887.5,0,NA,6,0,81,2402,12,33,1605,0,376,9091,38,-1,-9
100100,"pseudo1",1720787.5,175287.5,0,NA,0,0,0,2953,24.1875,35,1007,0,20,18114,-123,0,-24
100101,"pseudo1",1806287.5,76987.5,0,NA,0,0,0,794,3,38,993,3,221,17693,8,-8,14
100102,"pseudo1",1732687.5,46287.5,0,NA,56,0,0,1350,7,35,1726,0,214,13354,39,-4,-67
100103,"pseudo1",1655487.5,65787.5,0,NA,14,0,35,1382,7,45,1612,0,277,22455,23,-4,-52
100104,"pseudo1",1642687.5,100687.5,0,NA,2,0,98,2301,16.6875,42,1720,0,258,21213,51,-2,131
100105,"pseudo1",1579387.5,24187.5,0,NA,12,1,31,3326,7,37,1257,0,310,15719,-35,1,-124
100106,"pseudo1",1767987.5,86587.5,0,NA,0,1,100,1934,12,39,1099,0,309,9699,38,-2,-39
100107,"pseudo1",1604387.5,61587.5,0,NA,0,1,0,1985,12,41,1623,0,331,21560,39,-2,50
100108,"pseudo1",1565387.5,118387.5,0,NA,0,1,0,2274,17,37,1500,0,42,18213,39,-1,-4
100109,"pseudo1",1805987.5,86787.5,0,NA,0,0,0,1169,3,40,1121,1,332,9827,10,-6,-253
100110,"pseudo1",1576387.5,125887.5,0,NA,29,1,14,2320,18,37,1518,0,16,18352,21,-1,-10
100111,"pseudo1",1579487.5,13387.5,0,NA,0,0,0,3608,12.0625,34,1059,0,53,16522,-188,1,-66
100112,"pseudo1",1702887.5,122987.5,0,NA,10,0,89,2392,12,45,1849,0,303,11130,37,-1,178
100113,"pseudo1",1695487.5,78887.5,0,NA,0,0,0,586,0,47,1921,3,301,17099,0,-8,-126
100114,"pseudo1",1553687.5,54887.5,0,NA,0,0,0,2743,23,32,1328,0,33,18161,-31,0,3
100115,"pseudo1",1612687.5,131487.5,0,NA,45,1,54,2097,14.5,40,1741,0,282,10487,54,-2,39
100116,"pseudo1",1608387.5,55787.5,0,NA,6,0,25,1925,12,42,1534,0,186,14837,38,-3,-126
100117,"pseudo1",1744287.5,123587.5,0,NA,12,1,44,1736,12,47,2125,0,218,12247,38,-3,-48
100118,"pseudo1",1755587.5,169187.5,0,NA,0,0,0,3219,24,37,999,0,18,18369,-70,0,7
100119,"pseudo1",1654987.5,149887.5,0,NA,0,1,0,3163,25,35,1056,0,114,18474,-162,0,4
100120,"pseudo1",1555287.5,64587.5,0,NA,0,0,0,2769,25,32,1198,0,51,18276,-56,0,-4
100121,"pseudo1",1632587.5,90487.5,0,NA,0,0,0,2349,16,42,1606,0,118,15964,74,-2,39
100122,"pseudo1",1646787.5,49687.5,0,NA,0,0,0,1045,0,44,1708,1,344,10673,0,-6,241
100123,"pseudo1",1719487.5,-412.5,0,NA,44,0,0,2083,6,33,2032,0,198,13658,19,-2,178
100124,"pseudo1",1718587.5,162787.5,0,NA,0,0,0,2965,25,37,1141,0,59,18037,-46,0,-31
100125,"pseudo1",1654587.5,60087.5,0,NA,0,0,0,1648,7,45,1505,0,150,12329,23,-4,-31
100126,"pseudo1",1661787.5,157087.5,0,NA,0,0,0,3012,25.1875,36,1167,0,121,15718,-69,0,-2
100127,"pseudo1",1660787.5,114387.5,0,NA,19,0,62,2988,24,38,1282,0,21,18058,5,0,1
100128,"pseudo1",1729387.5,52387.5,0,NA,0,0,0,1077,2,37,1592,1,277,12407,6,-5,100
100129,"pseudo1",1790187.5,100687.5,0,NA,4,0,83,1841,12.4375,42,1311,0,316,20671,38,-3,42
100130,"pseudo1",1710887.5,125087.5,0,NA,21,0,4,2410,16,45,1897,0,173,14608,116,-1,81
100131,"pseudo1",1681787.5,139987.5,0,NA,31,0,19,3363,25,35,988,0,7,18418,-181,0,-4
100132,"pseudo1",1683287.5,141887.5,0,NA,0,0,0,3021,24,37,1136,0,33,19135,-67,0,14
100133,"pseudo1",1680987.5,145387.5,0,NA,0,0,0,3041,24,36,1117,0,23,18547,-80,0,7
100134,"pseudo1",1536687.5,96387.5,0,NA,14,1,60,1994,17,39,1705,0,61,19273,26,-2,10
100135,"pseudo1",1647987.5,108987.5,0,NA,6,0,0,2637,25,40,1486,0,182,17379,74,-1,-45
100136,"pseudo1",1634087.5,38487.5,0,NA,0,0,0,1179,3,41,1627,1,195,20498,8,-5,-140
100137,"pseudo1",1780087.5,40387.5,0,NA,0,0,0,1227,3,36,1247,1,221,17262,9,-5,-62
100138,"pseudo1",1632687.5,15387.5,0,NA,0,0,0,698,2,37,1482,4,218,17661,6,-7,152
100139,"pseudo1",1828387.5,97487.5,0,NA,0,1,0,1013,12.75,39,1132,1,285,13664,40,-7,-315
100140,"pseudo1",1631287.5,144687.5,0,NA,17,1,14,2765,26.3125,37,1276,0,145,11961,50,0,-241
100141,"pseudo1",1730487.5,-9412.5,0,NA,31,0,6,3804,7,31,1745,0,234,14093,6,1,-59
100142,"pseudo1",1694987.5,131087.5,0,NA,14,0,23,2904,25,40,1429,0,53,18804,67,0,-19
100143,"pseudo1",1746487.5,61687.5,0,NA,0,1,0,998,0.75,38,1386,2,422,18680,0,-6,101
100144,"pseudo1",1828387.5,80987.5,0,NA,0,1,0,770,0,36,923,3,454,10960,0,-8,-210
100145,"pseudo1",1755487.5,131287.5,0,NA,0,1,0,1086,6.6875,50,2331,1,326,15265,6,-6,325
100146,"pseudo1",1637787.5,66987.5,0,NA,0,0,0,3161,0,41,1150,0,0,17778,-105,0,-21
100147,"pseudo1",1792287.5,99387.5,0,NA,0,1,0,1159,12,44,1411,1,191,21660,52,-6,101
100148,"pseudo1",1564687.5,111887.5,0,NA,4,1,96,2123,18,38,1510,0,154,19019,25,-2,25
100149,"pseudo1",1727787.5,159487.5,0,NA,0,0,0,3013,24,38,1133,0,20,18483,-55,0,2
100150,"pseudo1",1690787.5,89187.5,0,NA,0,0,0,743,0,48,1954,2,246,13667,0,-7,-128
100151,"pseudo1",1748987.5,23787.5,0,NA,46,0,48,2419,4.25,33,1595,0,322,16208,-4,-1,-160
100152,"pseudo1",1719587.5,-6412.5,0,NA,35,0,39,3958,12,30,1846,0,109,19789,9,2,9
100153,"pseudo1",1657987.5,10887.5,0,NA,0,0,0,1276,2.0625,34,1290,1,426,19315,-36,-5,220
100154,"pseudo1",1706587.5,183587.5,0,NA,0,0,0,3177,25,33,850,0,11,18514,-256,0,-8
100155,"pseudo1",1752987.5,76587.5,0,NA,0,1,0,574,0,41,1352,4,181,14347,0,-8,156
100156,"pseudo1",1680887.5,44387.5,0,NA,0,0,0,627,0,40,2247,4,289,12900,0,-8,102
100157,"pseudo1",1720587.5,143287.5,0,NA,10,0,33,2478,16.875,42,1606,0,233,20446,52,-1,178
100158,"pseudo1",1650587.5,102887.5,0,NA,2,0,23,2378,17.1875,43,1724,0,214,12091,55,-1,-99
100159,"pseudo1",1541787.5,81687.5,0,NA,0,0,0,2857,26,32,1120,0,46,18896,-143,0,-78
100160,"pseudo1",1622487.5,26087.5,0,NA,0,0,31,3445,11.0625,24,521,0,149,13946,-489,0,-120
100161,"pseudo1",1695387.5,167187.5,0,NA,0,0,0,3134,23.9375,34,1014,0,85,20040,-157,0,62
100162,"pseudo1",1665287.5,106187.5,0,NA,6,0,0,2551,16,43,1590,0,118,16739,115,-1,93
100163,"pseudo1",1805587.5,66587.5,0,NA,2,0,48,1120,12,36,1193,1,237,11898,38,-7,107
100164,"pseudo1",1585887.5,139387.5,0,NA,37,1,6,2836,18,35,1258,0,189,13146,2,0,25
100165,"pseudo1",1646387.5,136087.5,0,NA,0,0,0,3299,25,34,1054,0,33,18196,-149,0,-27
100166,"pseudo1",1697087.5,61787.5,0,NA,83,0,4,1413,6.0625,38,1678,0,255,11973,21,-4,138
100167,"pseudo1",1582087.5,58687.5,0,NA,0,0,0,2825,25,35,1397,0,82,16500,48,0,-18
100168,"pseudo1",1753187.5,85287.5,0,NA,0,0,94,2377,7,39,1147,0,366,20702,-66,-1,199
100169,"pseudo1",1617587.5,105687.5,0,NA,27,0,72,3072,25,34,1082,0,123,14973,-20,0,-18
100170,"pseudo1",1619487.5,82787.5,0,NA,0,0,0,3064,17,37,997,0,130,17573,-78,0,-3
100171,"pseudo1",1642187.5,27687.5,0,NA,0,1,0,3023,7,23,715,0,349,22879,-523,0,0
100172,"pseudo1",1806087.5,95787.5,0,NA,0,0,0,662,0,44,1464,3,245,16441,0,-8,29
100173,"pseudo1",1807287.5,51187.5,0,NA,0,0,0,704,0,36,1640,3,370,13883,0,-8,-107
100174,"pseudo1",1703187.5,184987.5,0,NA,0,0,0,3153,0,33,846,0,15,18625,-349,0,-22
100175,"pseudo1",1819387.5,73387.5,0,NA,0,1,94,1139,12.0625,34,895,1,54,19059,11,-7,21
100176,"pseudo1",1611787.5,85087.5,0,NA,0,0,0,2497,24,38,1360,0,77,18648,52,-1,45
100177,"pseudo1",1538587.5,83587.5,0,NA,77,1,23,2020,12,37,1624,0,132,18945,7,-2,124
100178,"pseudo1",1711887.5,107287.5,0,NA,27,0,66,1714,7,47,2132,0,202,12664,7,-3,73
100179,"pseudo1",1740987.5,39187.5,0,NA,0,0,100,2092,3,34,1661,0,305,16772,7,-2,-130
100180,"pseudo1",1626587.5,31287.5,0,NA,2,0,54,2026,7,32,1167,0,238,21145,-159,-2,-59
100181,"pseudo1",1738287.5,161587.5,0,NA,0,0,0,2832,24,39,1200,0,70,17354,13,0,-3
100182,"pseudo1",1597887.5,47887.5,0,NA,0,0,0,2380,17,40,1452,0,203,21772,53,-1,-45
100183,"pseudo1",1540087.5,76087.5,0,NA,0,0,0,2988,12,31,1068,0,43,18654,-221,0,0
100184,"pseudo1",1639387.5,9987.5,0,NA,0,0,100,1631,3,29,846,0,413,8322,-24,-3,-125
100185,"pseudo1",1695987.5,39987.5,0,NA,43,0,31,1660,3,31,1809,0,314,20938,-4,-4,-142
100186,"pseudo1",1673487.5,143487.5,0,NA,0,0,0,3281,0,35,1052,0,5,18373,-223,0,-1
100187,"pseudo1",1715587.5,156987.5,0,NA,46,0,47,2776,22.4375,38,1330,0,210,13050,53,0,-29
100188,"pseudo1",1586687.5,74387.5,0,NA,4,0,21,2874,17.5,34,1202,0,113,19764,-67,0,-3
100189,"pseudo1",1524487.5,54587.5,0,NA,83,0,4,2646,12,33,1363,0,108,19990,-111,0,-56
100190,"pseudo1",1567887.5,67187.5,0,NA,0,0,0,2726,25,33,1279,0,14,18490,-16,0,8
100191,"pseudo1",1723787.5,59787.5,0,NA,0,0,0,535,0,40,1485,5,245,13298,0,-8,190
100192,"pseudo1",1696587.5,110687.5,0,NA,2,0,67,3101,12,42,1533,0,79,19711,37,0,-20
100193,"pseudo1",1697287.5,63387.5,0,NA,0,1,0,1590,7,39,1597,0,328,20242,5,-3,-66
100194,"pseudo1",1756787.5,71587.5,0,NA,0,1,0,1216,12,38,1161,1,94,17833,52,-5,94
100195,"pseudo1",1744787.5,141287.5,0,NA,0,0,0,2577,16.6875,44,1748,0,92,16252,118,-1,-41
100196,"pseudo1",1558087.5,64887.5,0,NA,0,0,100,2819,17,32,1182,0,151,20490,-123,0,22
100197,"pseudo1",1534387.5,56487.5,0,NA,0,0,0,3111,25,29,1111,0,24,18509,-177,0,-1
100198,"pseudo1",1789287.5,63887.5,0,NA,0,1,100,1465,7,35,1056,1,309,12742,24,-5,-24
100199,"pseudo1",1692387.5,80587.5,0,NA,0,0,0,432,0,48,2028,5,269,13265,0,-9,152
100200,"pseudo1",1779087.5,73887.5,0,NA,8,1,42,1219,7,38,1115,0,341,18321,8,-5,-61
100201,"pseudo1",1698587.5,40287.5,0,NA,0,1,0,879,0,33,1949,2,456,18493,0,-6,398
100202,"pseudo1",1791887.5,75087.5,0,NA,0,0,0,741,2.5,40,1161,2,341,15665,9,-7,-157
100203,"pseudo1",1785087.5,88787.5,0,NA,2,1,10,1185,12,42,1226,0,227,19820,39,-5,-18
100204,"pseudo1",1691787.5,163887.5,0,NA,0,0,0,3212,24,34,1013,0,52,18732,-184,0,-7
100205,"pseudo1",1652587.5,141587.5,0,NA,31,1,50,3207,24.375,35,1066,0,62,17255,-109,0,-15
100206,"pseudo1",1630187.5,94187.5,0,NA,6,0,0,2642,16,39,1455,0,154,14192,49,-1,56
100207,"pseudo1",1701687.5,34887.5,0,NA,0,0,0,1523,2,33,1938,0,391,16268,7,-4,27
100208,"pseudo1",1714287.5,182087.5,0,NA,0,0,0,3207,25,33,865,0,49,17807,-254,0,-14
100209,"pseudo1",1646787.5,3787.5,0,NA,0,0,0,1023,3,34,1137,1,288,10994,-2,-6,-59
100210,"pseudo1",1698487.5,89587.5,0,NA,23,1,14,2110,12.375,45,1577,0,252,10332,39,-2,-206
100211,"pseudo1",1694987.5,114587.5,0,NA,35,0,14,2383,12,45,1870,0,192,17244,38,-1,21
100212,"pseudo1",1712387.5,22487.5,0,NA,17,0,58,1890,2.1875,33,1992,0,351,9479,8,-2,100
100213,"pseudo1",1614587.5,125887.5,0,NA,0,0,0,3308,24.5,33,1110,0,6,18386,-182,0,-8
100214,"pseudo1",1644087.5,167087.5,0,NA,0,0,0,3311,24.5,34,1031,0,15,18604,-136,0,2
100215,"pseudo1",1644187.5,32187.5,0,NA,0,0,0,1357,0,35,1502,1,481,17359,-6,-4,-147
100216,"pseudo1",1605087.5,83387.5,0,NA,0,0,0,2638,24.875,37,1300,0,42,18335,42,-1,47
100217,"pseudo1",1604287.5,57687.5,0,NA,0,0,0,2079,17,41,1510,0,106,18644,46,-2,-48
100218,"pseudo1",1695287.5,163787.5,0,NA,0,0,0,3109,24,35,1065,0,30,17880,-122,0,-6
100219,"pseudo1",1723187.5,111887.5,0,NA,21,1,17,1919,7,46,2032,0,147,14229,23,-3,32
100220,"pseudo1",1697187.5,47987.5,0,NA,0,0,0,751,2,32,1803,2,210,22148,6,-7,117
100221,"pseudo1",1745487.5,173987.5,0,NA,0,0,0,3086,24,37,988,0,63,17451,-113,0,-6
100222,"pseudo1",1732687.5,32087.5,0,NA,2,0,4,1434,3,34,1824,0,274,18859,9,-4,-165
100223,"pseudo1",1534287.5,59387.5,0,NA,0,0,0,3077,25,30,1111,0,28,18457,-164,0,-3
100224,"pseudo1",1721687.5,92487.5,0,NA,0,0,0,1823,17,45,1853,0,52,15128,53,-3,-179
100225,"pseudo1",1604287.5,120987.5,0,NA,0,0,0,3327,17,32,1180,0,1,18397,-172,0,0
100226,"pseudo1",1667187.5,123887.5,0,NA,0,0,0,2767,24,39,1322,0,37,18014,90,0,8
100227,"pseudo1",1770787.5,101187.5,0,NA,67,1,8,2844,7,40,1094,0,222,19269,-109,0,-31
100228,"pseudo1",1718687.5,110787.5,0,NA,4,1,2,2053,7,46,2043,0,485,11504,24,-2,-136
100229,"pseudo1",1707387.5,149887.5,0,NA,0,0,0,3024,24,38,1215,0,21,18707,-33,0,-3
100230,"pseudo1",1690387.5,80787.5,0,NA,0,0,0,1324,3,46,1721,0,356,8307,8,-4,-127
100231,"pseudo1",1643387.5,126987.5,0,NA,2,0,98,3033,16.8125,36,1200,0,93,16512,-23,0,47
100232,"pseudo1",1725087.5,-4412.5,0,NA,0,0,0,4280,17,30,1799,0,26,18523,24,2,-35
100233,"pseudo1",1719987.5,111687.5,0,NA,10,1,33,1578,7,47,2170,0,380,14971,22,-4,74
100234,"pseudo1",1614587.5,56987.5,0,NA,8,0,4,2160,18,42,1445,0,189,13867,55,-2,-95
100235,"pseudo1",1592087.5,28787.5,0,NA,0,1,0,1076,0,44,2013,1,64,14544,0,-5,2
100236,"pseudo1",1805087.5,41287.5,0,NA,0,0,0,639,0,36,1581,4,53,16403,0,-9,-66
100237,"pseudo1",1673687.5,127887.5,0,NA,0,0,0,3239,12.5,37,1104,0,0,18381,-143,0,-16
100238,"pseudo1",1709487.5,33987.5,0,NA,0,0,0,1113,0,34,2001,1,294,13993,0,-5,45
100239,"pseudo1",1622987.5,164687.5,0,NA,0,0,0,3460,0,33,818,0,5,18360,-345,1,-7
100240,"pseudo1",1695387.5,47687.5,0,NA,0,0,0,715,0,33,1779,2,376,22032,0,-7,193
100241,"pseudo1",1619687.5,102087.5,0,NA,39,0,54,3007,21.8125,35,1110,0,263,16913,-42,0,-137
100242,"pseudo1",1749287.5,151187.5,0,NA,0,0,0,2726,24,42,1384,0,64,17080,73,0,30
100243,"pseudo1",1740387.5,33487.5,0,NA,27,0,73,2562,7.3125,33,1641,0,453,10788,24,0,-140
