siteid,spid,x,y,occ,group,cti,disturb,mi,rainann,raindq,rugged,soildepth,soilfert,solrad,tempann,tempmin,topo,vegsys
100029,pseudo1,152.0937082,-32.25937424,0,NA,1769,2,87,1372,222,39,1100,2,81,166,56,-23,2
100030,pseudo1,151.6890133,-30.92298168,0,NA,2019,4,62,744,150,8,1009,2,91,123,-6,-4,9
100031,pseudo1,152.5883353,-31.32947524,0,NA,1349,4,89,1336,180,19,1129,2,86,177,60,-3,9
100032,pseudo1,152.3023509,-29.44449623,0,NA,1199,2,93,2026,282,43,1110,2,90,133,7,5,1
100033,pseudo1,153.0748685,-28.97145284,0,NA,1839,4,71,1020,132,6,1070,2,91,197,68,-2,9
100034,pseudo1,151.788838,-29.89235861,0,NA,1259,4,77,940,186,18,990,1,91,122,2,5,9
100035,pseudo1,152.0703258,-29.88516403,0,NA,1629,3,79,972,150,31,1029,2,92,128,2,-22,3
100036,pseudo1,152.4849133,-31.63704338,0,NA,1439,4,95,2006,306,19,1139,4,82,150,18,-11,9
100037,pseudo1,152.1962309,-31.40591761,0,NA,1069,1,91,1362,180,67,1070,2,93,163,41,35,3
100038,pseudo1,151.6980065,-31.16849659,0,NA,1279,4,78,890,180,11,1049,2,89,106,-7,7,9
100039,pseudo1,152.7735957,-31.74855931,0,NA,1659,1,87,1420,240,1,1320,1,87,176,53,-1,5
100040,pseudo1,151.4938604,-32.67216306,0,NA,1299,3,58,816,150,9,1059,2,86,174,43,7,9
100041,pseudo1,152.1656539,-29.0514925,0,NA,1649,4,75,996,150,15,1009,2,91,141,11,-9,9
100042,pseudo1,151.9165417,-30.14326946,0,NA,1249,4,78,892,162,13,1029,1,90,115,0,5,9
100043,pseudo1,152.8716218,-29.83749997,0,NA,1849,4,65,1026,138,4,1070,1,90,188,66,-3,9
100044,pseudo1,152.5163895,-28.66298537,0,NA,1179,1,88,1292,168,86,980,4,80,163,42,15,2
100045,pseudo1,152.6351001,-30.61991015,0,NA,1099,2,91,1948,282,67,1149,2,83,173,59,32,2
100046,pseudo1,152.0748224,-28.87792334,0,NA,1439,2,75,1016,174,26,1049,1,93,136,12,-7,3
100047,pseudo1,152.0145678,-30.17114845,0,NA,1299,3,70,848,138,25,980,1,91,126,1,-7,3
100048,pseudo1,152.8149645,-31.44728643,0,NA,1269,3,86,1368,228,7,1139,2,88,178,56,3,2
100049,pseudo1,151.6332553,-31.34116643,0,NA,1299,3,90,1178,246,23,1059,4,91,102,-9,8,2
100050,pseudo1,151.9830916,-30.63519862,0,NA,1089,2,70,630,102,119,860,2,86,159,18,32,3
100051,pseudo1,152.1503655,-32.30523966,0,NA,1169,3,85,1466,246,66,1049,2,90,164,53,12,2
100052,pseudo1,153.4498858,-28.56585859,0,NA,1309,3,92,2042,252,25,1139,5,87,193,73,-8,2
100053,pseudo1,152.3733973,-30.26197997,0,NA,1239,3,81,934,138,17,1029,2,90,123,3,8,7
100054,pseudo1,152.8545346,-28.92558741,0,NA,1149,3,74,1116,126,26,1059,2,91,185,46,5,3
100055,pseudo1,151.5909872,-30.8258549,0,NA,1409,4,68,834,168,5,1039,2,91,119,-4,-3,9
100056,pseudo1,151.2375536,-30.94186744,0,NA,1299,4,62,842,186,26,1039,2,92,123,-34,5,9
100057,pseudo1,152.1971302,-31.20626812,0,NA,1259,1,92,1426,174,43,1049,2,92,125,-17,-18,2
100058,pseudo1,151.152118,-31.47606473,0,NA,1139,3,63,872,204,26,1049,2,89,136,-13,9,3
100059,pseudo1,153.0182112,-30.01466641,0,NA,1309,1,82,1366,162,30,1049,2,89,185,73,-18,3
100060,pseudo1,152.8329509,-29.73317861,0,NA,1709,3,62,960,126,8,1059,2,89,188,64,-4,7
100061,pseudo1,152.5712482,-29.82041285,0,NA,1129,3,70,1094,144,34,1019,2,92,180,56,8,3
100062,pseudo1,151.7789455,-30.12078641,0,NA,1509,4,79,912,180,8,1070,5,90,107,-3,0,9
100063,pseudo1,153.2934038,-28.33473283,0,NA,1199,3,92,1786,198,56,1039,2,78,192,65,-11,2
100064,pseudo1,152.054138,-31.27551592,0,NA,1509,1,91,1142,150,36,1110,2,88,123,-15,-14,3
100065,pseudo1,152.2402977,-31.62265423,0,NA,1549,3,92,1432,210,18,1100,2,89,144,4,-9,9
100066,pseudo1,152.7340255,-28.43275893,0,NA,1219,3,85,1218,156,49,980,2,86,177,45,8,2
100067,pseudo1,152.6036238,-31.89784677,0,NA,1259,3,84,1300,222,8,1100,3,87,173,48,-4,7
100068,pseudo1,152.6980526,-30.23230234,0,NA,1179,4,82,1340,192,51,1029,4,94,156,23,22,9
100069,pseudo1,151.8005292,-30.34921421,0,NA,1889,4,65,766,144,20,850,2,90,128,-4,-9,9
100070,pseudo1,151.6584363,-30.81326439,0,NA,1449,4,67,818,162,11,1029,2,92,121,-5,-2,9
100071,pseudo1,152.2960556,-30.08841082,0,NA,1209,1,54,796,102,138,810,2,92,155,12,-36,4
100072,pseudo1,152.6782675,-29.15401521,0,NA,1149,4,74,1100,144,24,1009,2,85,184,46,14,9
100073,pseudo1,152.9507621,-29.79343319,0,NA,1299,4,72,1118,150,7,1080,2,89,187,68,7,9
100074,pseudo1,152.7007506,-30.30694607,0,NA,1609,4,90,1728,258,29,1159,4,88,148,0,-5,9
100075,pseudo1,151.3967336,-31.97518847,0,NA,1499,1,91,1342,276,82,1049,2,89,121,-19,-33,2
100076,pseudo1,152.5020004,-29.80152708,0,NA,1129,2,83,1210,162,58,1009,2,89,165,36,14,3
100077,pseudo1,151.6872146,-30.18194031,0,NA,1489,4,72,834,168,8,1059,5,92,113,-2,-3,9
100078,pseudo1,152.5496645,-30.66037964,0,NA,1209,3,93,1918,270,97,1029,2,78,158,27,-21,2
100079,pseudo1,153.1450157,-29.56410606,0,NA,1769,4,75,1222,186,11,1070,2,92,190,72,-2,9
100080,pseudo1,152.3410217,-32.13167051,0,NA,1289,4,78,1120,192,10,1090,2,86,168,39,5,9
100081,pseudo1,152.6090197,-30.43734777,0,NA,1119,1,90,1684,228,59,1070,2,85,166,43,5,2
100082,pseudo1,153.1090428,-29.80152708,0,NA,1609,3,76,1216,162,23,1100,1,88,187,71,-10,3
100083,pseudo1,151.1341316,-31.9724905,0,NA,1099,4,55,712,156,45,920,2,83,165,36,41,9
100084,pseudo1,152.534376,-31.67751287,0,NA,1259,3,94,1754,276,60,1039,2,76,172,67,2,2
100085,pseudo1,151.9345282,-30.38248913,0,NA,1439,4,61,766,132,10,1029,2,93,127,-2,0,9
100086,pseudo1,153.0182112,-31.01021591,0,NA,1529,1,84,1372,222,1,1299,1,88,183,66,0,5
100087,pseudo1,151.7069997,-32.4212522,0,NA,1359,4,68,980,168,12,1080,2,86,171,41,-1,9
100088,pseudo1,153.1333245,-30.08391421,0,NA,1209,3,82,1542,192,20,1129,2,89,186,74,-13,2
100089,pseudo1,151.2402516,-31.93022237,0,NA,1169,4,52,732,162,25,889,3,88,155,19,9,9
100090,pseudo1,152.6252075,-30.77819083,0,NA,1179,3,89,1490,210,74,1009,2,75,170,54,3,2
100091,pseudo1,152.1233858,-29.75116505,0,NA,1349,3,92,1202,180,102,959,2,62,131,2,7,2
100092,pseudo1,151.9687024,-30.20262472,0,NA,1229,4,79,884,156,40,949,1,90,112,-1,5,9
100093,pseudo1,152.5838387,-30.21341658,0,NA,1059,3,87,1214,162,61,1009,2,81,148,-3,35,2
100094,pseudo1,152.0181651,-32.03904034,0,NA,1329,3,86,1218,174,48,1019,2,76,161,44,-15,2
100095,pseudo1,152.1036007,-28.52089249,0,NA,1209,3,67,876,150,33,1000,1,87,150,24,20,3
100096,pseudo1,151.9974807,-32.68475356,0,NA,1312,4,74,1198,264,0,1100,2,86,173,56,0,9
100097,pseudo1,152.6998512,-30.35371082,0,NA,1329,4,93,2066,294,22,1190,4,87,142,-5,-5,9
100098,pseudo1,152.5982279,-30.3815898,0,NA,1379,1,95,1906,264,107,1049,4,70,143,-6,-23,1
100099,pseudo1,151.8832668,-32.00756406,0,NA,1189,4,76,1018,138,23,1019,2,84,171,49,6,9
100100,pseudo1,153.0200099,-28.36261181,0,NA,1139,1,83,1392,162,117,930,4,96,163,57,-13,2
100101,pseudo1,152.556859,-30.8384454,0,NA,1069,4,85,1148,162,40,899,2,78,180,70,41,9
100102,pseudo1,152.7897834,-31.65233186,0,NA,1619,3,89,1566,264,37,1090,2,84,175,53,-8,2
100103,pseudo1,152.3814912,-31.15051015,0,NA,1199,1,93,2152,282,132,990,2,83,127,-17,-8,2
100104,pseudo1,152.0730238,-30.00027726,0,NA,1099,2,79,860,126,86,899,2,86,136,-8,4,3
100105,pseudo1,151.7447712,-32.11638203,0,NA,1109,3,89,1398,198,50,1009,2,78,148,13,27,2
100106,pseudo1,151.9615078,-30.50479692,0,NA,1349,4,67,782,132,22,1009,2,90,125,-2,-3,9
100107,pseudo1,152.4921079,-31.26472405,0,NA,1149,2,93,1712,228,39,1059,2,83,162,41,-9,2
100108,pseudo1,152.188137,-29.51554267,0,NA,1309,1,86,1326,192,17,1120,2,91,144,3,-3,3
100109,pseudo1,151.7061004,-30.49760235,0,NA,1429,4,62,778,150,25,1029,2,92,128,-13,-8,9
100110,pseudo1,152.2771699,-29.33657759,0,NA,1049,1,92,1596,228,84,1029,2,72,138,6,54,2
100111,pseudo1,151.0397027,-32.31783017,0,NA,2049,4,43,588,114,18,980,2,86,171,40,-7,9
100112,pseudo1,152.0838156,-29.40762403,0,NA,1309,3,90,1232,198,23,1000,2,84,131,6,2,3
100113,pseudo1,151.6863153,-30.77909015,0,NA,1749,4,68,818,156,13,980,1,91,121,-3,-4,9
100114,pseudo1,151.8823675,-31.44099117,0,NA,1149,2,87,1050,144,78,910,2,80,139,-8,1,3
100115,pseudo1,153.386034,-29.19718267,0,NA,1199,1,85,1680,264,11,1320,1,87,190,74,9,5
100116,pseudo1,151.4057268,-31.41850812,0,NA,1229,3,83,1102,258,31,1059,2,87,109,-6,13,2
100117,pseudo1,153.1486129,-29.39323488,0,NA,1659,4,78,1282,168,12,1090,2,88,190,71,-4,9
100118,pseudo1,153.5263282,-28.42016842,0,NA,2019,4,90,1784,222,9,1159,5,88,199,84,-1,9
100119,pseudo1,152.8392462,-28.77360199,0,NA,1189,4,71,1010,114,22,1080,1,93,187,45,8,9
100120,pseudo1,151.4039282,-31.18288575,0,NA,1299,4,74,966,228,10,1059,2,90,117,-5,6,9
100121,pseudo1,152.6413953,-30.35191218,0,NA,1379,4,93,2028,282,27,1139,4,85,132,-5,-14,9
100122,pseudo1,151.1755004,-31.57409084,0,NA,1429,3,86,1198,288,64,1000,4,81,115,-7,-1,2
100123,pseudo1,152.1422716,-32.53456678,0,NA,1459,3,82,1420,282,10,1139,2,85,169,52,-11,2
100124,pseudo1,152.9147892,-28.5172952,0,NA,1099,4,85,1252,150,43,1080,5,89,181,48,29,9
100125,pseudo1,151.7726502,-31.30609287,0,NA,1359,4,93,1246,234,29,1070,4,90,111,-5,-16,7
100126,pseudo1,153.0667746,-28.61891859,0,NA,1169,3,89,1646,192,53,1039,4,87,166,53,-2,2
100127,pseudo1,152.7726963,-29.61626674,0,NA,1409,3,66,1016,132,17,1049,1,89,190,63,-8,3
100128,pseudo1,150.8688316,-31.50664168,0,NA,1319,4,52,762,174,21,990,3,90,142,-6,0,9
100129,pseudo1,151.950716,-30.0020759,0,NA,1179,1,75,902,156,34,1049,1,87,124,1,20,6
100130,pseudo1,152.6072211,-29.35726199,0,NA,1319,4,75,1280,174,54,1059,2,95,178,48,-16,9
100131,pseudo1,152.4966045,-28.99663385,0,NA,1239,3,80,1166,150,60,970,2,82,168,38,-12,3
100132,pseudo1,152.3419211,-28.95526504,0,NA,1219,2,82,1270,174,53,990,2,88,157,27,-10,3
100133,pseudo1,152.6449926,-28.87882267,0,NA,1429,4,72,1068,126,21,1059,2,87,184,41,-7,9
100134,pseudo1,153.1189353,-30.14237014,0,NA,1319,3,86,1622,198,16,1110,3,87,186,79,-3,2
100135,pseudo1,152.4147662,-29.75656098,0,NA,1149,2,80,1220,162,89,1059,2,88,167,36,-12,3
100136,pseudo1,150.9326834,-31.82410237,0,NA,1189,4,51,716,156,23,920,3,87,164,29,5,9
100137,pseudo1,151.6692282,-31.78183423,0,NA,1449,3,74,912,138,50,1059,2,81,144,1,-42,7
100138,pseudo1,151.6557383,-32.28095797,0,NA,1359,4,76,1150,168,11,1110,2,86,171,42,-1,9
100139,pseudo1,151.7645563,-30.10909522,0,NA,1559,4,77,892,180,6,1059,5,91,111,-2,-1,9
100140,pseudo1,152.8833129,-28.89411114,0,NA,1159,3,68,1046,120,55,990,1,96,184,45,9,3
100141,pseudo1,151.8490926,-32.67665967,0,NA,1419,3,74,1146,234,11,1090,2,86,172,57,-1,3
100142,pseudo1,152.1413723,-29.20887386,0,NA,1219,2,89,1186,180,33,930,2,83,132,9,15,3
100143,pseudo1,151.0468973,-31.26382473,0,NA,1829,4,42,662,144,7,1019,3,91,156,6,-4,9
100144,pseudo1,152.079319,-30.70984235,0,NA,1189,1,81,1086,168,72,959,2,90,129,-19,18,3
100145,pseudo1,152.662979,-29.20437725,0,NA,1149,3,70,1130,150,35,1049,2,91,181,48,12,3
100146,pseudo1,152.8671251,-31.11723524,0,NA,1459,3,86,1374,210,7,1110,2,88,181,60,-5,3
100147,pseudo1,152.3140421,-30.04434404,0,NA,1179,1,48,760,108,51,930,2,100,167,35,-5,4
100148,pseudo1,153.1477136,-29.67831996,0,NA,1389,3,79,1298,198,10,1129,2,89,187,71,-5,3
100149,pseudo1,151.9794943,-28.57305317,0,NA,1359,4,61,850,156,8,1039,1,94,144,17,2,9
100150,pseudo1,151.9246356,-30.40227421,0,NA,1299,4,70,824,144,22,959,2,91,119,0,8,9
100151,pseudo1,151.4569882,-32.12537525,0,NA,1299,2,89,1486,246,50,1100,3,87,151,17,2,2
100152,pseudo1,151.8778709,-32.6289956,0,NA,1219,3,72,1104,222,5,1080,2,88,172,54,-1,3
100153,pseudo1,151.9138438,-32.36369559,0,NA,2129,4,76,1178,204,16,1070,2,89,171,43,-6,9
100154,pseudo1,152.4723228,-28.2888674,0,NA,1339,3,80,1170,168,30,1019,2,94,162,48,-3,2
100155,pseudo1,152.3545116,-30.85013659,0,NA,1109,3,79,1118,156,51,1000,2,95,179,67,18,3
100156,pseudo1,152.5757448,-31.69370067,0,NA,1269,3,93,1588,240,45,1039,2,82,173,57,-1,2
100157,pseudo1,153.064976,-28.92558741,0,NA,1469,3,73,1050,132,2,1070,5,90,198,68,0,7
100158,pseudo1,152.3149414,-29.93192878,0,NA,1129,1,91,1248,168,108,970,2,87,133,0,23,3
100159,pseudo1,152.3913838,-30.68196337,0,NA,1219,3,86,1206,168,58,1019,2,84,181,66,-14,9
100160,pseudo1,151.0648838,-32.08220779,0,NA,1159,3,65,886,198,49,889,2,88,145,3,7,9
100161,pseudo1,153.2439411,-28.44714808,0,NA,1219,3,85,1518,174,59,1049,4,95,184,55,1,2
100162,pseudo1,153.143217,-29.834802,0,NA,1649,3,78,1264,156,15,1100,2,89,187,73,-6,2
100163,pseudo1,152.2816665,-31.12982575,0,NA,1279,1,94,1640,210,37,1110,2,87,124,-9,-6,3
100164,pseudo1,152.2591834,-29.00922436,0,NA,1349,3,86,1238,180,12,1129,1,90,138,12,2,6
100165,pseudo1,153.3248801,-29.08746538,0,NA,1199,4,79,1358,210,0,1110,4,90,194,76,0,9
100166,pseudo1,152.0433462,-31.26022744,0,NA,1199,4,90,1106,150,37,1019,2,86,121,-5,19,9
100167,pseudo1,151.5289339,-31.34296507,0,NA,1359,4,85,1096,246,19,1090,4,86,110,-6,-1,9
100168,pseudo1,152.0946075,-30.55425964,0,NA,1259,4,69,822,126,23,1039,2,92,131,-17,-1,9
100169,pseudo1,152.3608068,-29.84919115,0,NA,1109,1,59,940,132,62,1009,2,94,179,51,18,4
100170,pseudo1,152.2052241,-30.64419184,0,NA,1019,1,87,1222,180,109,1019,2,69,148,0,48,2
100171,pseudo1,151.6989058,-32.05163084,0,NA,1399,4,83,1190,156,45,1070,2,90,166,49,-11,9
100172,pseudo1,151.7528651,-30.16665184,0,NA,1369,4,76,872,174,8,1049,5,91,110,-2,3,9
100173,pseudo1,151.4803706,-31.53811796,0,NA,1259,4,73,934,210,33,1009,5,89,121,-17,9,9
100174,pseudo1,152.5020004,-28.27627689,0,NA,1519,4,87,1288,186,20,1110,2,87,167,48,-8,9
100175,pseudo1,151.6737248,-30.94186744,0,NA,1229,4,65,772,156,9,1000,2,90,118,-3,13,7
100176,pseudo1,152.5892346,-30.55965557,0,NA,1189,3,90,1832,258,40,1200,2,90,183,71,-14,2
100177,pseudo1,151.9003539,-30.61451421,0,NA,1089,2,77,662,108,136,779,2,72,149,-1,38,4
100178,pseudo1,152.5082956,-29.80422505,0,NA,1149,2,80,1176,156,36,1120,2,90,169,42,25,3
100179,pseudo1,151.7744489,-31.80881389,0,NA,1049,3,73,992,132,88,939,2,93,153,18,44,2
100180,pseudo1,152.4129675,-31.97698711,0,NA,1399,3,79,1090,186,23,1080,2,89,170,45,-9,2
100181,pseudo1,152.855434,-28.53708029,0,NA,1329,4,86,1286,150,37,1080,5,82,182,46,-24,7
100182,pseudo1,152.5415706,-31.61545965,0,NA,1109,3,94,1714,270,24,1120,2,87,168,60,12,2
100183,pseudo1,151.288815,-30.86362642,0,NA,1579,4,63,838,174,8,980,1,91,124,-18,-4,9
100184,pseudo1,152.1710499,-32.37898407,0,NA,1539,4,80,1308,234,7,1129,2,86,170,45,1,9
100185,pseudo1,152.3760953,-31.78992813,0,NA,1269,4,88,1254,180,17,1049,2,83,172,42,0,9
100186,pseudo1,152.5784428,-28.9210908,0,NA,2379,4,64,994,126,37,1009,5,91,190,46,-18,9
100187,pseudo1,152.8905075,-28.62161656,0,NA,1199,4,78,1172,138,29,1049,2,89,184,41,-2,9
100188,pseudo1,151.8131197,-30.91218981,0,NA,1249,4,79,906,162,21,1059,2,91,113,-4,10,9
100189,pseudo1,152.3491156,-31.44818575,0,NA,1329,4,92,1324,174,48,1090,2,91,175,59,-17,9
100190,pseudo1,151.2951102,-31.11183931,0,NA,1239,3,50,744,162,65,949,2,96,145,-5,-3,3
100191,pseudo1,150.9048044,-31.31508609,0,NA,1569,4,41,660,138,5,1019,5,92,161,14,-4,9
100192,pseudo1,152.5406712,-29.71159488,0,NA,1179,2,72,1186,144,81,1009,2,96,176,50,-1,3
100193,pseudo1,152.5577584,-31.21616066,0,NA,1139,3,92,1614,210,54,1039,2,85,170,58,0,2
100194,pseudo1,151.8311061,-30.99133015,0,NA,1909,4,80,878,156,8,1049,2,89,112,-4,-4,9
100195,pseudo1,152.4354506,-28.96875487,0,NA,1209,3,79,1154,156,16,1029,2,88,166,40,1,3
100196,pseudo1,151.2267617,-31.17479185,0,NA,1589,4,53,796,174,33,1059,2,91,148,-2,-16,9
100197,pseudo1,151.9794943,-31.39962236,0,NA,1159,3,90,1124,144,59,1009,2,77,138,-10,16,2
100198,pseudo1,152.2061234,-31.20357015,0,NA,1819,1,93,1414,168,35,1129,2,88,129,-18,-10,1
100199,pseudo1,151.5667055,-30.72243286,0,NA,1689,4,60,758,156,9,1029,5,92,126,-10,-4,9
100200,pseudo1,152.2286065,-30.92747829,0,NA,1129,1,86,1152,150,112,939,2,83,136,-13,-3,1
100201,pseudo1,151.3436736,-31.78363287,0,NA,1229,4,53,680,144,20,980,2,89,143,-1,0,9
100202,pseudo1,152.6045231,-30.89420337,0,NA,1749,4,77,1054,144,9,1009,2,89,182,61,-7,9
100203,pseudo1,152.7762936,-30.41846201,0,NA,1889,4,85,1644,210,17,1159,2,86,186,66,-17,9
100204,pseudo1,153.383336,-28.49840944,0,NA,1079,3,92,2266,240,55,1139,2,91,181,61,24,2
100205,pseudo1,151.9552126,-28.96156029,0,NA,1229,3,58,818,150,29,1019,1,94,141,9,-7,6
100206,pseudo1,153.0505868,-30.21881251,0,NA,1099,3,88,2024,282,77,1029,2,82,163,46,11,2
100207,pseudo1,152.0370509,-31.90234338,0,NA,1109,2,86,1088,150,65,930,2,71,168,57,25,2
100208,pseudo1,153.2439411,-28.30145791,0,NA,1269,4,91,1938,210,48,1100,5,85,186,57,-1,9
100209,pseudo1,152.0424468,-32.47341288,0,NA,1309,4,82,1380,258,14,1090,2,85,169,49,-6,9
100210,pseudo1,151.8769716,-30.38698574,0,NA,1649,4,69,812,144,8,1029,2,91,120,-1,-4,9
100211,pseudo1,152.640496,-29.61177013,0,NA,1259,4,69,1102,126,16,1100,2,89,187,56,6,9
100212,pseudo1,151.9597092,-32.14875762,0,NA,1779,4,74,1032,156,9,1080,2,87,170,47,-2,9
100213,pseudo1,153.0281038,-29.33657759,0,NA,1379,2,76,1220,162,10,1100,2,90,189,63,-1,3
100214,pseudo1,153.3203835,-28.44804741,0,NA,1189,3,90,1968,222,69,1000,2,88,172,58,-13,3
100215,pseudo1,151.5244373,-31.95900067,0,NA,1159,1,93,1702,342,86,1019,2,92,110,-7,19,2
100216,pseudo1,151.9102465,-30.62260811,0,NA,1089,4,46,626,102,110,860,2,96,157,13,3,9
100217,pseudo1,152.4741214,-31.36904541,0,NA,1339,4,90,1340,168,32,1110,2,87,175,57,-14,9
100218,pseudo1,153.2484377,-28.50020808,0,NA,1179,3,86,1618,174,37,1090,2,91,185,54,4,9
100219,pseudo1,153.1414184,-29.68011861,0,NA,1269,3,77,1268,192,10,1120,1,91,187,70,6,3
100220,pseudo1,151.1817956,-31.61456033,0,NA,1509,1,91,1372,324,15,1039,4,85,100,-12,-1,3
100221,pseudo1,152.5586577,-28.37340368,0,NA,1279,3,76,1040,144,24,1080,2,91,169,42,-11,2
100222,pseudo1,151.7339794,-31.96169864,0,NA,1439,4,72,984,120,13,1059,2,86,173,59,-7,9
100223,pseudo1,151.1170444,-31.32407931,0,NA,1309,4,53,792,174,38,1029,3,91,151,2,-9,9
100224,pseudo1,152.4867119,-30.27996641,0,NA,1209,3,88,1258,174,35,1120,2,89,130,-1,1,3
100225,pseudo1,152.397679,-29.45348945,0,NA,1349,3,78,1228,156,20,1100,2,87,185,48,2,7
100226,pseudo1,153.1018482,-29.38514098,0,NA,1859,4,75,1196,144,3,1100,1,90,191,70,-2,9
100227,pseudo1,152.1233858,-29.9858881,0,NA,1119,2,53,780,114,131,889,2,96,149,0,28,3
100228,pseudo1,153.0685733,-29.70889691,0,NA,1639,4,72,1114,162,2,1100,2,90,189,70,0,9
100229,pseudo1,152.3149414,-28.77450131,0,NA,1129,2,81,1196,174,44,1009,2,86,161,35,8,3
100230,pseudo1,151.9498167,-30.71523828,0,NA,1189,2,60,708,114,99,839,2,76,155,11,-15,3
100231,pseudo1,152.1782445,-29.31049725,0,NA,1169,1,92,1324,198,46,1019,2,83,138,6,12,3
100232,pseudo1,152.1467682,-32.59572068,0,NA,1259,4,79,1318,282,1,1299,1,85,172,53,0,9
100233,pseudo1,152.7259316,-29.68551454,0,NA,1749,4,66,1016,126,8,1049,4,90,189,62,-3,9
100234,pseudo1,150.9281868,-31.38793117,0,NA,1439,4,45,702,150,9,1019,3,92,153,3,2,9
100235,pseudo1,151.3400763,-32.02914779,0,NA,1279,4,86,1296,270,75,949,2,93,127,-16,-29,9
100236,pseudo1,151.4273105,-31.76204915,0,NA,1459,4,81,1014,222,18,1039,5,87,114,-7,2,9
100237,pseudo1,152.827555,-29.2880142,0,NA,1219,3,84,1258,168,61,1029,2,81,178,51,13,2
100238,pseudo1,152.5163895,-31.92122915,0,NA,1039,4,80,1164,204,1,1100,3,87,174,47,0,9
100239,pseudo1,152.3212367,-28.48491961,0,NA,1459,4,56,848,126,13,1039,2,94,175,35,-5,9
100240,pseudo1,152.559557,-31.62085558,0,NA,1309,3,93,1590,240,31,1139,2,86,173,69,4,2
100241,pseudo1,151.8616831,-29.95621048,0,NA,1279,3,83,1006,192,15,1000,1,91,116,1,3,3
100242,pseudo1,152.0991041,-28.74482368,0,NA,1499,4,72,964,174,11,1059,1,92,143,15,-2,9
100243,pseudo1,152.5127923,-31.93202101,0,NA,1359,4,80,1180,210,4,1080,3,87,173,46,1,9
100244,pseudo1,152.7924814,-30.50659557,0,NA,1149,2,86,1628,216,55,1059,2,85,185,78,-3,2
100245,pseudo1,151.5963831,-31.90683999,0,NA,1519,1,92,1272,234,82,980,2,74,124,-20,-15,1
100246,pseudo1,152.3581089,-32.28275661,0,NA,1259,3,84,1352,240,36,1059,2,87,168,59,-9,2
