"siteid","spid","x","y","occ","group","sabio1","sabio2","sabio4","sabio5","sabio6","sabio7","sabio8","sabio12","sabio15","sabio17","sabio18"
100081,"pseudo1",-77.7912792102,-7.89991897395,0,NA,59,138,766,134,-32,166,64,1095,54,48,419
100082,"pseudo1",-53.5996125435,-31.8165856406,0,NA,173,113,3791,288,69,219,134,1350,12,258,322
100083,"pseudo1",-58.3746125435,-18.5832523073,0,NA,256,132,2246,342,148,194,275,1268,50,89,444
100084,"pseudo1",-59.8996125435,-16.1582523073,0,NA,245,136,1824,328,131,197,257,1758,59,93,686
100085,"pseudo1",-54.0329458769,-7.64991897395,0,NA,251,129,526,344,165,179,245,2720,60,58,527
100086,"pseudo1",-43.2329458769,-10.999918974,0,NA,256,134,746,331,166,165,264,795,75,1,339
100087,"pseudo1",-54.1412792102,-23.2332523073,0,NA,224,122,2518,312,118,194,238,1631,31,219,486
100088,"pseudo1",-66.7829458769,-6.26658564062,0,NA,260,98,325,320,199,121,261,2900,42,235,557
100089,"pseudo1",-41.1412792102,-18.224918974,0,NA,239,113,1586,321,153,168,251,1236,59,77,366
100090,"pseudo1",-41.8162792102,-9.52491897395,0,NA,266,119,820,338,188,150,269,650,80,2,88
100091,"pseudo1",-81.2662792102,-4.67491897395,0,NA,224,102,2537,317,142,175,255,25,100,0,18
100092,"pseudo1",-41.6162792102,-6.81658564062,0,NA,249,111,1011,327,176,151,246,963,81,6,78
100093,"pseudo1",-73.7829458769,-6.87491897395,0,NA,258,107,609,323,185,138,261,2650,29,311,609
100094,"pseudo1",-41.9662792102,-19.1332523073,0,NA,240,120,1827,323,141,182,253,1356,68,47,447
100095,"pseudo1",-68.0996125435,4.15008102605,0,NA,275,98,697,345,221,124,265,3008,56,243,245
100096,"pseudo1",-50.0496125435,-29.674918974,0,NA,191,67,3114,264,111,153,167,1739,8,377,405
100097,"pseudo1",-76.7162792102,-7.52491897395,0,NA,266,155,558,349,168,181,265,2133,25,289,555
100098,"pseudo1",-65.5996125435,-7.64991897395,0,NA,263,103,349,326,195,131,263,2223,46,135,447
100099,"pseudo1",-46.5246125435,-18.874918974,0,NA,227,115,1495,302,134,168,236,1744,72,31,638
100100,"pseudo1",-74.4329458769,7.73341435938,0,NA,245,96,332,303,193,110,240,3938,47,290,533
100101,"pseudo1",-43.2412792102,-9.87491897395,0,NA,258,141,719,345,166,179,261,794,77,0,136
100102,"pseudo1",-72.7496125435,-15.949918974,0,NA,91,124,1347,164,0,164,106,99,116,0,69
100103,"pseudo1",-54.6996125435,-12.0082523073,0,NA,246,149,829,354,131,223,246,2263,69,10,505
100104,"pseudo1",-41.0996125435,-5.87491897395,0,NA,249,106,856,321,182,139,242,897,93,9,39
100105,"pseudo1",-68.5162792102,-19.8165856406,0,NA,53,137,3054,155,-61,216,85,163,129,0,106
100106,"pseudo1",-63.4412792102,-8.19158564062,0,NA,262,102,540,332,189,143,260,2504,55,106,289
100107,"pseudo1",-51.6662792102,-12.8665856406,0,NA,260,128,901,341,164,177,265,1877,69,14,392
100108,"pseudo1",-75.6079458769,-3.49158564062,0,NA,256,98,499,311,193,118,255,2339,13,456,562
100109,"pseudo1",-57.5496125435,-8.15825230729,0,NA,263,119,463,354,165,189,261,2863,57,84,387
100110,"pseudo1",-64.2579458769,-2.52491897395,0,NA,266,92,312,320,212,108,263,3333,21,537,571
100111,"pseudo1",-41.1412792102,-21.7832523073,0,NA,232,86,1959,301,152,149,244,1143,41,99,321
100112,"pseudo1",-52.2162792102,-2.91658564062,0,NA,264,93,471,323,210,113,260,2173,59,113,113
100113,"pseudo1",-73.7079458769,-9.53325230729,0,NA,253,104,368,317,185,132,255,1859,39,179,466
100114,"pseudo1",-49.8079458769,-14.2415856406,0,NA,265,98,640,337,194,143,266,1911,77,16,180
100115,"pseudo1",-78.3162792102,-1.76658564062,0,NA,150,106,387,214,91,123,149,1920,17,357,401
100116,"pseudo1",-55.6996125435,-14.0665856406,0,NA,245,130,912,322,139,183,248,2012,63,44,782
100117,"pseudo1",-50.1079458769,-2.84158564062,0,NA,268,105,298,331,211,120,266,2821,64,153,153
100118,"pseudo1",-72.0662792102,6.15841435938,0,NA,231,107,638,304,171,133,231,1996,57,109,351
100119,"pseudo1",-64.2079458769,1.10841435938,0,NA,268,101,353,323,213,110,262,2456,40,312,391
100120,"pseudo1",-73.6746125435,-12.249918974,0,NA,179,140,696,263,82,181,174,2109,44,173,461
100121,"pseudo1",-77.2246125435,-7.51658564062,0,NA,161,151,547,242,66,176,161,1630,36,158,453
100122,"pseudo1",-75.1746125435,-15.299918974,0,NA,187,90,2660,271,107,164,220,0,0,0,0
100123,"pseudo1",-50.3162792102,-26.2082523073,0,NA,172,126,3323,274,55,219,208,1583,20,288,449
100124,"pseudo1",-60.3579458769,4.20841435938,0,NA,262,101,437,322,205,117,257,938,82,44,173
100125,"pseudo1",-44.7662792102,-13.1832523073,0,NA,234,130,1025,317,137,180,237,1104,77,0,261
100126,"pseudo1",-51.2746125435,2.67508102605,0,NA,259,90,551,328,204,124,256,3690,53,178,178
100127,"pseudo1",-58.0829458769,-3.99158564062,0,NA,270,91,393,328,215,113,267,2529,40,273,289
100128,"pseudo1",-49.4829458769,-14.7582523073,0,NA,236,90,729,305,170,135,235,2149,76,19,66
100129,"pseudo1",-42.9162792102,-5.88325230729,0,NA,264,113,938,348,189,159,255,1567,74,30,158
100130,"pseudo1",-65.0829458769,-2.64158564062,0,NA,265,92,292,319,213,106,262,3786,19,628,734
100131,"pseudo1",-65.9079458769,-0.549918973953,0,NA,265,86,396,314,215,99,261,2852,18,498,559
100132,"pseudo1",-56.7829458769,-0.258252307286,0,NA,276,98,753,352,224,128,269,2812,42,377,377
100133,"pseudo1",-62.8412792102,0.308414359381,0,NA,271,99,366,326,214,112,265,2260,38,319,328
100134,"pseudo1",-35.5162792102,-6.53325230729,0,NA,248,98,1271,314,182,132,251,878,61,42,126
100135,"pseudo1",-65.4579458769,-4.69991897395,0,NA,265,88,275,319,213,106,266,2959,34,318,578
100136,"pseudo1",-41.2829458769,-17.3582523073,0,NA,239,119,1707,319,146,173,251,1074,62,61,308
100137,"pseudo1",-45.8162792102,-17.024918974,0,NA,234,137,1459,318,123,195,242,1376,79,10,499
100138,"pseudo1",-65.3746125435,-21.424918974,0,NA,108,168,3238,222,-44,266,136,508,92,0,231
100139,"pseudo1",-47.6496125435,-6.37491897395,0,NA,251,118,396,330,164,166,250,1823,62,56,283
100140,"pseudo1",-74.2079458769,0.191747692714,0,NA,264,89,788,322,207,115,260,2945,40,331,422
100141,"pseudo1",-56.3996125435,-29.549918974,0,NA,203,118,4435,325,83,242,198,1577,16,276,358
100142,"pseudo1",-65.0829458769,-1.82491897395,0,NA,262,93,313,315,210,105,259,3309,20,592,609
100143,"pseudo1",-67.4829458769,-12.8582523073,0,NA,259,117,1099,336,172,164,266,1799,55,128,487
100144,"pseudo1",-49.7579458769,-9.16658564062,0,NA,265,128,371,347,180,167,264,2298,62,36,271
100145,"pseudo1",-58.7996125435,-1.79991897395,0,NA,269,84,511,326,223,103,266,2501,43,264,264
100146,"pseudo1",-73.4829458769,-11.7665856406,0,NA,214,130,615,296,127,169,208,2038,39,194,378
100147,"pseudo1",-69.7079458769,-6.08325230729,0,NA,256,105,363,316,190,126,256,2400,33,238,545
100148,"pseudo1",-45.9579458769,-4.29991897395,0,NA,265,103,499,330,205,125,262,1758,70,66,113
100149,"pseudo1",-69.9662792102,3.34174769271,0,NA,266,93,729,336,214,122,257,3040,52,250,273
100150,"pseudo1",-72.4162792102,-7.74158564062,0,NA,252,97,603,311,181,130,255,2375,39,201,650
100151,"pseudo1",-41.5329458769,-19.8915856406,0,NA,240,127,1930,324,134,190,254,1389,64,64,446
100152,"pseudo1",-51.4579458769,-28.674918974,0,NA,184,101,3067,278,93,185,168,1993,11,420,441
100153,"pseudo1",-54.6746125435,-22.3082523073,0,NA,236,118,2229,317,129,188,246,1642,35,173,433
100154,"pseudo1",-74.3496125435,9.92508102605,0,NA,273,115,491,346,202,144,269,1338,54,90,218
100155,"pseudo1",-70.3912792102,-9.94991897395,0,NA,247,113,551,316,165,151,249,2085,54,85,663
100156,"pseudo1",-51.1246125435,-16.2915856406,0,NA,243,109,928,319,158,161,247,1944,76,25,191
100157,"pseudo1",-66.7079458769,-0.0415856406195,0,NA,266,84,446,315,217,98,262,3139,17,534,608
100158,"pseudo1",-76.3496125435,-5.55825230729,0,NA,263,85,284,317,209,108,262,2299,21,352,594
100159,"pseudo1",-75.3329458769,-9.03325230729,0,NA,257,122,367,328,185,143,260,4281,35,458,1249
100160,"pseudo1",-65.9912792102,-19.499918974,0,NA,72,155,2410,178,-67,245,92,407,94,3,172
100161,"pseudo1",-69.3079458769,5.63341435938,0,NA,277,94,820,351,219,132,266,2635,63,116,356
100162,"pseudo1",-50.8079458769,-5.09158564062,0,NA,252,104,356,314,192,122,248,2138,62,88,168
100163,"pseudo1",-75.0079458769,-11.8582523073,0,NA,63,131,729,142,-31,173,61,1036,55,59,221
100164,"pseudo1",-63.0746125435,-0.633252307286,0,NA,269,98,300,324,214,110,266,2366,38,298,298
100165,"pseudo1",-49.7079458769,-1.11658564062,0,NA,269,91,425,324,221,103,266,3091,52,185,283
100166,"pseudo1",-64.7162792102,-12.8332523073,0,NA,264,122,820,350,177,173,266,1676,62,43,331
100167,"pseudo1",-47.1579458769,-13.474918974,0,NA,261,104,756,333,184,149,260,1659,74,9,171
100168,"pseudo1",-73.5079458769,-8.41658564062,0,NA,252,101,580,315,182,133,252,2001,39,175,554
100169,"pseudo1",-48.7579458769,-5.15825230729,0,NA,269,100,318,332,208,124,265,2409,71,72,82
100170,"pseudo1",-56.6246125435,-8.84158564062,0,NA,259,130,560,359,160,199,256,2727,61,47,325
100171,"pseudo1",-64.7662792102,-19.2415856406,0,NA,135,121,1708,213,34,179,149,663,82,7,264
100172,"pseudo1",-62.4746125435,-6.64991897395,0,NA,264,99,422,332,201,131,260,2670,44,178,352
100173,"pseudo1",-43.8246125435,-15.0082523073,0,NA,246,123,1281,326,151,175,252,968,84,1,245
100174,"pseudo1",-74.5412792102,10.2667476927,0,NA,279,112,446,347,211,136,277,1201,62,55,285
100175,"pseudo1",-43.0079458769,-10.5332523073,0,NA,254,140,805,340,161,179,259,793,77,1,242
100176,"pseudo1",-65.7579458769,-8.44158564062,0,NA,261,105,467,324,193,131,262,2289,54,97,489
100177,"pseudo1",-74.0162792102,-8.69991897395,0,NA,260,105,524,325,190,135,260,1750,36,176,501
100178,"pseudo1",-70.5412792102,-4.94158564062,0,NA,258,101,356,315,196,119,259,2660,22,394,642
100179,"pseudo1",-48.2246125435,-17.2415856406,0,NA,239,148,1364,327,115,212,246,1611,67,39,368
100180,"pseudo1",-52.8079458769,-18.624918974,0,NA,226,119,1413,302,133,169,234,1910,58,74,428
100181,"pseudo1",-74.8162792102,3.87508102605,0,NA,265,102,375,329,211,118,259,1732,41,209,236
100182,"pseudo1",-49.9162792102,-15.6332523073,0,NA,239,96,906,308,166,142,240,1998,72,21,61
100183,"pseudo1",-53.1746125435,-10.024918974,0,NA,255,146,566,363,148,215,254,2717,64,30,630
100184,"pseudo1",-67.3579458769,-22.5332523073,0,NA,37,166,3324,150,-108,258,67,86,141,0,49
100185,"pseudo1",-41.3079458769,-17.0915856406,0,NA,224,119,1728,303,129,174,236,1009,65,47,298
100186,"pseudo1",-77.7329458769,-0.00825230728613,0,NA,136,101,379,195,80,115,131,2413,13,477,485
100187,"pseudo1",-71.8496125435,2.63341435938,0,NA,274,91,1022,347,217,130,266,2449,55,187,187
100188,"pseudo1",-73.1329458769,-10.3415856406,0,NA,251,108,423,319,181,138,251,2013,39,194,324
100189,"pseudo1",-51.4329458769,-14.299918974,0,NA,261,122,886,338,168,170,265,1807,70,16,415
100190,"pseudo1",-48.5496125435,-11.7165856406,0,NA,264,123,651,353,172,181,264,1760,71,11,182
100191,"pseudo1",-39.0996125435,-13.249918974,0,NA,239,64,1261,290,190,100,234,1893,22,333,414
100192,"pseudo1",-79.0746125435,-4.47491897395,0,NA,162,123,395,237,95,142,161,1603,36,200,330
100193,"pseudo1",-57.7329458769,-12.499918974,0,NA,251,137,987,346,140,206,254,2386,71,28,462
100194,"pseudo1",-37.6329458769,-10.8665856406,0,NA,239,84,1432,300,176,124,224,1081,51,124,179
100195,"pseudo1",-72.7496125435,-0.358252307286,0,NA,266,87,721,322,209,113,259,2933,35,380,453
100196,"pseudo1",-46.4496125435,-12.1832523073,0,NA,257,116,685,336,181,155,255,2095,74,8,171
100197,"pseudo1",-67.6996125435,-13.924918974,0,NA,255,112,1309,329,171,158,263,2019,51,190,490
100198,"pseudo1",-76.4579458769,-12.4082523073,0,NA,107,111,2289,195,21,174,135,134,101,0,86
100199,"pseudo1",-74.7579458769,-9.23325230729,0,NA,249,115,383,317,178,139,252,2145,36,233,704
100200,"pseudo1",-57.9079458769,-10.4415856406,0,NA,239,129,679,330,135,195,239,2419,65,37,461
100201,"pseudo1",-59.4496125435,-17.0415856406,0,NA,255,118,2091,332,154,178,271,1964,51,167,682
100202,"pseudo1",-69.4579458769,-10.224918974,0,NA,248,115,720,317,160,157,252,1910,55,61,589
100203,"pseudo1",-78.2162792102,-7.81658564062,0,NA,89,133,975,162,0,162,100,915,59,33,381
100204,"pseudo1",-68.6079458769,4.56674769271,0,NA,277,96,734,347,223,124,267,3041,54,235,244
100205,"pseudo1",-51.0246125435,-0.299918973953,0,NA,269,80,584,327,226,101,264,2997,50,181,222
100206,"pseudo1",-64.8746125435,-6.89991897395,0,NA,263,100,287,327,199,128,263,2855,44,194,565
100207,"pseudo1",-46.1996125435,-17.999918974,0,NA,226,122,1171,300,135,165,231,1665,78,18,606
100208,"pseudo1",-73.2746125435,9.55841435938,0,NA,268,110,442,336,197,139,265,1914,56,139,487
100209,"pseudo1",-53.6246125435,-24.4082523073,0,NA,211,129,3064,313,98,215,243,1710,23,311,475
100210,"pseudo1",-35.8079458769,-7.66658564062,0,NA,243,93,1320,311,178,133,238,719,58,43,171
100211,"pseudo1",-45.0912792102,-3.96658564062,0,NA,272,101,558,338,213,125,270,1889,74,63,104
100212,"pseudo1",-51.4662792102,-20.1165856406,0,NA,237,125,1910,314,130,184,253,1680,61,87,598
100213,"pseudo1",-52.7579458769,-2.52491897395,0,NA,265,91,528,323,215,108,260,2144,60,114,128
100214,"pseudo1",-75.6579458769,5.60841435938,0,NA,212,99,333,270,159,111,208,2321,31,337,495
100215,"pseudo1",-40.7412792102,-18.4665856406,0,NA,239,108,1530,315,158,157,249,1210,55,91,352
100216,"pseudo1",-44.6662792102,-8.73325230729,0,NA,252,114,876,335,179,156,245,1193,70,6,87
100217,"pseudo1",-45.7162792102,-13.6832523073,0,NA,236,122,862,314,147,167,237,1344,77,4,111
100218,"pseudo1",-75.7746125435,4.52508102605,0,NA,217,108,338,278,159,119,211,2019,30,321,518
100219,"pseudo1",-41.4912792102,-4.30825230729,0,NA,253,118,820,333,178,155,247,1286,91,17,92
100220,"pseudo1",-66.6246125435,-15.624918974,0,NA,255,105,1430,323,163,160,265,2409,47,208,783
100221,"pseudo1",-73.1162792102,7.38341435938,0,NA,188,95,343,241,131,110,187,1641,38,229,319
100222,"pseudo1",-45.6329458769,-18.4915856406,0,NA,229,129,1480,304,124,180,237,1580,77,18,570
100223,"pseudo1",-52.2329458769,-13.324918974,0,NA,249,137,1048,335,143,192,255,1833,70,7,591
100224,"pseudo1",-66.6996125435,-7.18325230729,0,NA,258,104,383,319,190,129,259,2811,45,190,578
100225,"pseudo1",-69.9246125435,-3.16658564062,0,NA,254,88,360,304,201,103,255,3056,19,481,714
100226,"pseudo1",-64.7162792102,-2.79991897395,0,NA,267,91,287,321,214,107,264,3434,20,542,603
100227,"pseudo1",-43.4329458769,-5.80825230729,0,NA,268,109,978,350,198,152,260,1470,72,30,161
100228,"pseudo1",-55.9246125435,-4.45825230729,0,NA,270,97,491,333,212,121,266,2369,44,220,271
100229,"pseudo1",-77.5996125435,1.10008102605,0,NA,102,88,173,149,55,94,103,1448,31,180,402
100230,"pseudo1",-40.8329458769,-9.19158564062,0,NA,251,136,1285,334,158,176,258,523,81,3,123
100231,"pseudo1",-78.0579458769,-2.38325230729,0,NA,195,100,470,256,140,116,192,2841,20,495,524
100232,"pseudo1",-50.1829458769,-27.9832523073,0,NA,155,103,3009,250,61,189,139,1704,14,320,434
100233,"pseudo1",-77.4329458769,-4.34158564062,0,NA,260,88,361,317,209,108,260,3155,10,633,738
100234,"pseudo1",-42.7579458769,-13.824918974,0,NA,223,114,1161,298,139,159,230,923,81,3,216
100235,"pseudo1",-44.6162792102,-19.049918974,0,NA,223,133,1806,302,109,193,236,1432,76,23,514
100236,"pseudo1",-63.1746125435,-16.8665856406,0,NA,248,104,2064,320,156,164,266,1495,49,148,523
100237,"pseudo1",-57.9829458769,-2.25825230729,0,NA,272,83,533,330,227,103,268,2299,44,226,226
100238,"pseudo1",-48.7412792102,-18.1582523073,0,NA,244,134,1501,325,128,197,253,1518,74,20,316
100239,"pseudo1",-69.2829458769,4.85841435938,0,NA,276,93,755,346,221,125,266,3022,56,190,221
100240,"pseudo1",-72.9829458769,-15.6832523073,0,NA,128,133,1503,207,29,178,144,181,114,0,125
100241,"pseudo1",-40.5746125435,-5.66658564062,0,NA,252,100,821,318,189,129,247,722,96,11,52
100242,"pseudo1",-64.0412792102,1.35008102605,0,NA,259,100,344,315,204,111,254,2287,43,261,355
100243,"pseudo1",-58.1079458769,-18.249918974,0,NA,251,125,2174,334,150,184,269,1337,52,90,482
100244,"pseudo1",-53.2079458769,-8.19991897395,0,NA,250,136,435,347,155,192,247,2586,60,41,550
100245,"pseudo1",-70.7829458769,-18.0415856406,0,NA,170,68,2632,248,103,145,137,2,36,0,0
100246,"pseudo1",-45.6996125435,-21.4415856406,0,NA,210,132,2255,294,93,201,230,1672,64,69,606
100247,"pseudo1",-77.2829458769,-10.924918974,0,NA,95,105,1733,160,9,151,116,176,90,4,101
100248,"pseudo1",-45.5912792102,-17.0082523073,0,NA,235,141,1567,322,120,202,244,1333,79,12,477
100249,"pseudo1",-71.6829458769,1.17508102605,0,NA,268,90,763,332,211,121,262,2890,42,330,330
100250,"pseudo1",-61.7079458769,-1.66658564062,0,NA,272,92,351,327,221,106,268,2468,28,381,381
100251,"pseudo1",-74.7246125435,-6.82491897395,0,NA,264,120,604,337,187,150,263,2186,27,279,521
100252,"pseudo1",-65.7579458769,-6.41658564062,0,NA,265,97,303,324,203,121,265,3093,41,258,582
100253,"pseudo1",-60.2829458769,-1.04991897395,0,NA,273,89,411,328,222,106,269,2629,42,317,317
100254,"pseudo1",-72.2829458769,-8.70825230729,0,NA,251,100,509,311,180,131,252,2083,47,137,580
100255,"pseudo1",-46.8662792102,-20.349918974,0,NA,214,115,1887,280,108,172,228,1715,69,48,604
100256,"pseudo1",-68.8996125435,-10.799918974,0,NA,251,107,926,323,166,157,257,1898,53,75,434
