"siteid","spid","x","y","occ","group","alt","asp2","ontprec","ontprec4","ontprecsd","ontslp","onttemp","onttempsd","onttmin4","ontveg","watdist"
10030,"pseudo1",-86.1168269212,49.3674856895,0,NA,322,0.9991184,847,46,25,0.8702877,-12,12383,-62,2,409309.3
10031,"pseudo1",-87.8334936774,52.975819211,0,NA,215,-0.9670746,648,38,44,0.2304179,-36,14160,-87,3,275797.3
10032,"pseudo1",-91.2918271911,53.9674859294,0,NA,243,-0.9899495,616,31,46,0.1441693,-45,14471,-93,2,328105.9
10033,"pseudo1",-81.6751600229,52.0924858316,0,NA,16,0.8944272,614,26,49,0.05291534,-29,13457,-85,3,15930.66
10034,"pseudo1",-90.3418271416,52.1008191654,0,NA,359,0.464007,740,40,44,0.01467608,-31,14088,-81,2,460467.7
10035,"pseudo1",-79.7418265888,48.6174856503,0,NA,287,0.2441766,862,46,28,0.5515575,-5,12749,-56,2,237468.1
10036,"pseudo1",-81.2084933319,49.1924856803,0,NA,263,0.5646839,919,47,22,0.3845243,-9,12778,-63,2,204168.7
10037,"pseudo1",-89.6668271064,49.7341523753,0,NA,429,-0.8137335,788,47,33,0.3137356,-18,13251,-70,2,611942.1
10038,"pseudo1",-84.1834934871,48.2258189633,0,NA,338,-0.8574929,874,45,21,0.4933311,0,11808,-50,2,387529.8
10039,"pseudo1",-80.2668266161,43.0591520271,0,NA,227,0.4856429,971,83,11,0.2809594,66,9636,12,4,856093.4
10040,"pseudo1",-93.2334939591,53.7841525865,0,NA,264,0.8192319,598,30,49,0.01467608,-36,14526,-80,2,352163.7
10041,"pseudo1",-95.1251607244,51.6258191406,0,NA,335,0.9397935,589,29,45,0.4047179,-13,14098,-48,2,612786.9
10042,"pseudo1",-90.0334937922,52.1924858368,0,NA,338,0.9899495,728,40,44,0.2763216,-32,14097,-83,2,437857.6
10043,"pseudo1",-89.0251604063,54.7758193049,0,NA,126,-0.4856429,559,30,47,0.1262482,-53,14421,-104,3,163814.9
10044,"pseudo1",-88.4918270451,50.8424857664,0,NA,389,-0.07197781,750,42,39,0.5188636,-28,13558,-80,2,483709.4
10045,"pseudo1",-86.2168269265,54.2091526086,0,NA,134,-0.8,569,31,49,0.1083447,-49,14231,-103,2,102279.5
10046,"pseudo1",-94.7251607035,51.575819138,0,NA,368,0.9816915,603,31,45,0.1580658,-15,14067,-50,2,612449.1
10047,"pseudo1",-87.741827006,49.0924856751,0,NA,450,-0.1961161,851,40,28,0.2304179,-13,11835,-59,2,528856.3
10048,"pseudo1",-83.6168267909,49.3424856882,0,NA,276,0.1104316,831,47,18,0.3525271,-11,12827,-62,2,264754.3
10049,"pseudo1",-89.2334937504,50.8174857651,0,NA,335,0.807791,753,44,40,0.1870834,-24,13631,-77,3,532309.4
10050,"pseudo1",-81.3168266709,45.1424854691,0,NA,171,0.6,957,61,15,0.04151021,50,9510,0,3,639347.3
10051,"pseudo1",-90.4251604793,55.0508193192,0,NA,125,-0.9938837,551,28,47,0.02935215,-55,14546,-105,2,207642.5
10052,"pseudo1",-91.833493886,51.4174857964,0,NA,387,0.7071068,731,40,42,0.03113266,-20,13798,-64,3,584049.2
10053,"pseudo1",-89.60849377,54.0841526021,0,NA,192,0.9899495,599,32,46,0.134908,-48,14382,-97,2,250313.3
10054,"pseudo1",-81.49182668,50.4841524144,0,NA,66,0.8944271,833,44,28,0.1083447,-9,13123,-63,2,70470.86
10055,"pseudo1",-82.3084933893,50.2424857351,0,NA,102,6.123032e-17,857,47,24,0.05188776,-5,13158,-58,3,127268.2
10056,"pseudo1",-83.433493448,49.6508190376,0,NA,247,0.8106792,865,50,17,0.09567624,-12,13007,-64,5,231481.4
10057,"pseudo1",-88.6251603854,49.025819005,0,NA,265,0.4869549,792,40,29,1.778113,-1,12209,-51,1,590075.9
10058,"pseudo1",-85.3418268808,51.8591524861,0,NA,159,-0.9333456,759,46,34,0.04278775,-28,13891,-79,3,240367.9
10059,"pseudo1",-89.6834937739,52.400819181,0,NA,323,0.7249995,708,39,44,0.0328167,-35,14135,-85,2,404407.3
10060,"pseudo1",-91.2834938574,52.2258191719,0,NA,397,-0.5144958,724,39,43,0.1815325,-32,14072,-79,2,485769.5
10061,"pseudo1",-93.3501606318,51.6674858094,0,NA,375,-0.3022438,652,34,45,0.1867953,-19,13904,-58,2,589337.4
10062,"pseudo1",-88.1251603593,56.100819374,0,NA,35,1,487,25,51,0.1353065,-64,14450,-120,3,26678.53
10063,"pseudo1",-85.2168268743,49.492485696,0,NA,336,0.9524242,826,49,22,0.0374168,-16,12665,-67,2,345876.1
10064,"pseudo1",-82.4584933971,48.6591523192,0,NA,321,0.9363292,788,43,25,1.582744,-5,12473,-54,2,283303.2
10065,"pseudo1",-85.7584935692,55.5674860128,0,NA,5,0.9958932,481,23,54,0.08927103,-58,14221,-116,3,6202.936
10066,"pseudo1",-84.6418268443,47.4508189228,0,NA,314,0.4061385,1068,54,18,2.161518,13,10672,-36,2,478360.3
10067,"pseudo1",-93.9084939943,51.467485799,0,NA,416,0.464007,637,33,44,0.2366433,-19,13915,-55,2,615237.8
10068,"pseudo1",-80.308493285,51.2758191223,0,NA,4,0.8574929,748,38,35,0.06961472,-22,12983,-78,2,4680.354
10069,"pseudo1",-80.9918266539,50.5091524157,0,NA,108,0.962964,836,44,29,0.2046765,-15,13058,-69,2,57698.25
10070,"pseudo1",-90.2834938052,51.7258191458,0,NA,359,-0.7633863,760,42,42,0.0328167,-27,14002,-78,2,488325.9
10071,"pseudo1",-85.6501602302,53.5674859085,0,NA,115,0.4472136,606,34,47,0.2494918,-42,14160,-95,3,160813.7
10072,"pseudo1",-83.8001601337,52.2841525082,0,NA,82,0.9998477,674,36,40,0.06961472,-30,13824,-84,2,126770.5
10073,"pseudo1",-87.9251603489,51.3424857925,0,NA,303,0.9968654,738,42,39,0.4131446,-26,13732,-76,2,425190
10074,"pseudo1",-80.883493315,47.0091522331,0,NA,394,0.02372215,875,56,19,2.166088,11,11789,-38,2,429464.4
10075,"pseudo1",-85.4001602172,52.2674858407,0,NA,174,0.1104316,720,43,37,0.1532224,-33,13972,-85,3,223697.5
10076,"pseudo1",-90.8084938326,51.5591524704,0,NA,370,-0.2248594,763,42,42,0.104293,-24,13953,-73,3,526872.4
10077,"pseudo1",-86.7918269564,50.7758190962,0,NA,278,0.9554027,810,45,34,0.05188776,-23,13549,-73,2,375975.8
10078,"pseudo1",-86.8168269577,52.7341525317,0,NA,193,0.7071068,668,40,43,0.126674,-34,14091,-85,2,268840.2
10079,"pseudo1",-77.7501598182,46.150818855,0,NA,195,-0.4152924,896,59,19,0.7072384,28,11649,-19,2,524117.5
10080,"pseudo1",-93.883493993,51.1258191145,0,NA,398,-0.593649,638,34,44,0.3777432,-13,13825,-49,2,653072.4
10081,"pseudo1",-82.3001600555,42.3008186542,0,NA,177,0.9938837,886,80,14,0.05588482,83,9765,28,4,964323
10082,"pseudo1",-80.3501599538,47.0258189007,0,NA,293,-0.9987661,880,55,18,1.081231,18,11899,-31,2,419016.8
10083,"pseudo1",-79.5501599121,48.4841523101,0,NA,280,-0.9837002,871,47,28,0.2442572,-3,12706,-53,3,250805.4
10084,"pseudo1",-86.0834935862,51.2174857859,0,NA,175,0.2425357,805,49,33,0.269415,-22,13734,-72,2,310528.3
10085,"pseudo1",-82.9501600894,50.0924857273,0,NA,170,0.999406,874,50,21,0.5110217,-10,13197,-62,2,173107.7
10086,"pseudo1",-76.1751597361,44.5424854378,0,NA,96,0.917345,926,69,11,0.5385182,54,10623,6,4,729612.7
10087,"pseudo1",-88.0501603554,51.7341524796,0,NA,285,-0.2821663,716,42,41,0.3222025,-28,13872,-78,2,404570.2
10088,"pseudo1",-80.8084933111,47.2674855799,0,NA,375,-0.3162278,860,53,20,0.7226747,8,11985,-42,3,400886.7
10089,"pseudo1",-94.7584940386,50.567485752,0,NA,384,0.8320503,602,34,45,0.5516552,-4,13762,-36,2,723993
10090,"pseudo1",-87.0168269682,52.3674858459,0,NA,234,0.1414214,694,42,42,0.04640983,-32,14032,-82,2,311952.1
10091,"pseudo1",-84.4751601689,51.5258191354,0,NA,131,-0.1104316,776,47,30,0.1300302,-25,13733,-77,2,193649.8
10092,"pseudo1",-93.7834939878,51.5008191341,0,NA,427,0.8454889,642,33,45,0.764591,-20,13914,-58,2,610405.9
10093,"pseudo1",-81.7251600255,46.6508188811,0,NA,398,-0.6697196,894,61,18,1.750896,15,11172,-35,2,486652.5
10094,"pseudo1",-84.0168268117,55.200819327,0,NA,10,0.9982744,467,19,59,0.1122503,-57,13949,-117,3,9472.246
10095,"pseudo1",-80.9668266526,43.0008186908,0,NA,267,-0.9333456,1001,81,12,0.3085439,62,9650,9,4,868766
10096,"pseudo1",-80.1251599421,51.2674857886,0,NA,4,0.8944271,749,38,35,0.1068433,-22,12963,-79,2,2212.165
10097,"pseudo1",-87.5001603267,51.2174857859,0,NA,261,0.9963467,756,43,37,0.1253923,-24,13690,-74,2,403737.6
10098,"pseudo1",-79.7084932537,46.8258188902,0,NA,313,-0.919145,947,58,19,0.0886658,20,11703,-28,2,435700.5
10099,"pseudo1",-87.633493667,55.9258193648,0,NA,18,0.8944272,488,25,52,0.05870429,-61,14410,-117,3,9436.004
10100,"pseudo1",-79.8334932602,50.4591524131,0,NA,242,0.8320503,834,43,32,0.2442572,-26,12957,-81,2,46281.01
10101,"pseudo1",-80.6751599708,48.5674856477,0,NA,275,-0.7384856,851,45,24,0.4320023,-6,12634,-57,2,259874.6
10102,"pseudo1",-87.4001603215,49.7758190441,0,NA,347,1,836,41,31,0.1122503,-17,12788,-67,2,472362.5
10103,"pseudo1",-89.1501604128,51.8841524874,0,NA,306,0.9918817,721,41,43,0.1958026,-30,13994,-81,2,426839.2
10104,"pseudo1",-81.4251600099,46.2341521927,0,NA,247,0.9983526,896,61,16,0.09281959,30,10795,-19,2,523809.2
10105,"pseudo1",-88.8334937296,51.0258191093,0,NA,359,0.9938837,742,43,41,0.6693017,-27,13675,-80,2,498368.5
10106,"pseudo1",-83.7501601311,49.5174856973,0,NA,268,0.9349975,835,48,18,0.1764179,-13,12895,-64,2,258135.5
10107,"pseudo1",-82.0918267113,52.8341525369,0,NA,1,0.7071068,557,22,55,0,-36,13572,-92,2,3146.571
10108,"pseudo1",-94.2001606761,51.0341524431,0,NA,360,0.9970545,618,33,45,0.04278775,-9,13862,-44,2,666455.1
10109,"pseudo1",-85.3918268834,53.2008192227,0,NA,115,-0.8944272,635,36,45,0.07903305,-39,14084,-92,2,200940.1
10110,"pseudo1",-75.6084930399,45.0924854665,0,NA,85,-1.83691e-16,932,68,13,0.121466,49,11174,5,4,687840.3
10111,"pseudo1",-90.9168271716,53.0508192149,0,NA,297,-0.9863939,672,35,45,0.06644874,-38,14291,-86,1,393710.3
10112,"pseudo1",-93.4334939695,50.567485752,0,NA,380,0.9554027,675,36,44,0.61541,-4,13452,-40,2,713039.1
10113,"pseudo1",-85.8334935731,49.1091523427,0,NA,340,0.957407,844,48,23,1.06027,-10,12096,-61,1,406935.5
10114,"pseudo1",-86.5168269421,53.4758192371,0,NA,139,0.7071068,618,36,46,0.05188776,-40,14196,-92,2,184415.1
10115,"pseudo1",-90.4584938143,49.1591523453,0,NA,495,-0.07124706,791,41,39,0.1058306,-11,12872,-61,2,694739.9
10116,"pseudo1",-83.8418268026,53.08415255,0,NA,94,-0.9486833,601,30,47,0.09790156,-40,13912,-95,3,104418.9
10117,"pseudo1",-87.958493684,55.6174860154,0,NA,72,-0.9805807,507,26,50,0.2292465,-60,14427,-115,2,48603.98
10118,"pseudo1",-82.6834934088,54.484152623,0,NA,17,-0.8944272,476,17,59,0.07264284,-53,13655,-113,2,19311.07
10119,"pseudo1",-91.1834938521,49.7008190402,0,NA,437,-0.3387194,812,49,36,0.4052497,-10,13276,-54,2,710156.9
10120,"pseudo1",-85.766826903,51.2674857886,0,NA,171,-1.83691e-16,809,50,32,0.0374168,-23,13724,-74,2,287967.5
10121,"pseudo1",-82.533493401,48.7924856595,0,NA,284,0.9125093,799,44,24,0.4080303,-4,12553,-53,2,272003.2
10122,"pseudo1",-77.4418264688,44.0174854104,0,NA,96,-1,920,72,11,0.1556629,61,10122,10,4,761411.3
10123,"pseudo1",-86.3834936018,55.2091526608,0,NA,94,-0.09053572,512,26,52,0.1467605,-58,14280,-115,3,58590.82
10124,"pseudo1",-79.5334932446,49.4258190258,0,NA,267,0.9899495,874,44,32,0.1996154,-14,12882,-66,2,147049
10125,"pseudo1",-88.316827036,54.9008193114,0,NA,112,0.8137333,544,29,49,0.1083447,-54,14394,-107,2,131212
10126,"pseudo1",-86.8668269604,52.6341525265,0,NA,203,0.9486834,678,41,42,0.04278775,-33,14085,-84,2,281040.7
10127,"pseudo1",-93.7834939878,48.9508190011,0,NA,347,-0.8344647,679,41,50,0.3899471,11,13130,-23,3,888283.6
10128,"pseudo1",-83.7668267987,51.8841524874,0,NA,78,-0.6,717,40,36,0.060511,-26,13770,-79,2,134129.9
10129,"pseudo1",-83.8501601364,53.1591525539,0,NA,93,0.9363292,595,29,49,0.1058306,-41,13925,-96,2,105680.5
10130,"pseudo1",-89.7418271103,53.909152593,0,NA,220,0.9916005,612,32,45,0.162434,-47,14387,-97,2,271540.6
10131,"pseudo1",-90.3751604767,54.0091525982,0,NA,227,-0.8804712,611,31,46,0.09281959,-48,14443,-97,2,284994.4
10132,"pseudo1",-92.7668272681,54.2008192749,0,NA,221,0.9912279,587,29,49,0.5054069,-41,14585,-87,2,304108.2
10133,"pseudo1",-81.1418266618,51.6341524743,0,NA,43,0.5547002,684,33,40,0.05291534,-26,13209,-82,2,33829.08
10134,"pseudo1",-82.5751600699,52.3591525122,0,NA,31,0.9284767,613,27,48,0.04640983,-31,13680,-86,2,51447.81
10135,"pseudo1",-80.1251599421,47.8924856125,0,NA,293,-0.1104316,840,48,21,0.4316283,3,12434,-45,2,321373
10136,"pseudo1",-80.7501599747,48.1008189567,0,NA,336,-0.666795,845,47,22,0.320359,-4,12429,-53,2,310272.3
10137,"pseudo1",-77.7001598156,45.2591521419,0,NA,311,-0.8804712,865,61,13,1.464094,34,10965,-14,2,621997.5
10138,"pseudo1",-85.9918269147,51.6924858107,0,NA,164,-0.9938837,768,47,35,0.0328167,-26,13873,-77,3,288631.4
10139,"pseudo1",-85.3251602133,54.1674859398,0,NA,118,0.1414213,559,29,50,0.04640983,-49,14171,-104,3,93092.88
10140,"pseudo1",-81.6251600203,43.0341520258,0,NA,234,0.8778955,977,79,11,0.4930036,66,9637,12,4,873389.4
10141,"pseudo1",-90.7751604975,53.4508192358,0,NA,259,-0.1961161,644,33,46,0.0374168,-41,14389,-90,3,350924.3
10142,"pseudo1",-90.3001604727,49.5174856973,0,NA,472,-0.9103665,806,45,36,0.3534423,-16,13186,-66,2,664257.8
10143,"pseudo1",-87.2584936474,50.6924857586,0,NA,294,0.9511248,795,43,35,0.3322401,-23,13501,-72,2,410200.3
10144,"pseudo1",-90.8418271677,53.4591525695,0,NA,260,-0.9899495,643,33,46,0.04640983,-41,14394,-90,3,352780.6
10145,"pseudo1",-89.1001604102,49.850819048,0,NA,266,-0.9658428,773,45,32,0.1847665,-12,13181,-66,2,570534.4
10146,"pseudo1",-81.3584933397,51.8091524835,0,NA,34,0.9486834,656,30,44,0.0328167,-27,13305,-83,2,30267.71
10147,"pseudo1",-91.7751605497,52.50915252,0,NA,349,0.2095291,687,36,44,0.1673326,-31,14151,-76,2,476406.2
10148,"pseudo1",-87.991827019,55.0341526517,0,NA,99,-0.7071068,536,29,49,0.3528324,-55,14387,-108,3,110187.9
10149,"pseudo1",-89.391827092,51.1841524509,0,NA,373,0.9805807,754,44,41,0.1640831,-28,13811,-81,2,501884.9
10150,"pseudo1",-82.1084933789,46.1841521901,0,NA,184,-1,899,66,17,0.1058306,34,10574,-16,2,545132.3
10151,"pseudo1",-81.6251600203,43.3091520402,0,NA,227,0.06651922,996,75,8,0.4950743,64,9615,11,4,843845.6
10152,"pseudo1",-75.6501597087,44.8508187872,0,NA,108,-0.2290391,927,69,13,0.1160244,50,10983,5,2,710843.1
10153,"pseudo1",-89.4918270973,56.3258193857,0,NA,89,0.9977852,492,25,48,0.1058306,-69,14543,-123,3,63155.25
10154,"pseudo1",-83.5084934519,50.4341524118,0,NA,161,-0.8320503,847,50,21,0.3250311,-15,13320,-66,2,189295.1
10155,"pseudo1",-82.533493401,48.4258189737,0,NA,333,0.3162278,762,41,25,0.5292403,-3,12330,-52,2,309885.2
10156,"pseudo1",-89.2168270829,54.0841526021,0,NA,168,0.8944272,597,32,46,0.1614364,-47,14381,-97,2,238372.1
10157,"pseudo1",-92.6918272641,52.0091524939,0,NA,398,0.07669662,678,35,45,0.1856387,-25,13965,-67,1,549945.3
10158,"pseudo1",-81.3168266709,50.7424857612,0,NA,46,0.9998477,807,42,30,0.07338035,-12,13130,-67,2,39189.57
10159,"pseudo1",-83.5584934545,46.4174855356,0,NA,306,-0.9353296,974,65,17,1.774268,25,10672,-26,2,546196.4
10160,"pseudo1",-86.7668269551,55.5008193427,0,NA,74,0.9990562,497,25,53,0.2413743,-60,14327,-116,3,38343.55
10161,"pseudo1",-84.5918268417,52.2008191706,0,NA,156,-0.8574929,713,41,37,0.06563339,-33,13913,-86,2,177169.5
10162,"pseudo1",-82.9834934245,49.8258190467,0,NA,231,0.8137333,883,51,19,0.1103148,-12,13093,-64,2,194329.5
10163,"pseudo1",-84.6751601794,53.8841525917,0,NA,101,-0.9486833,566,28,50,0.2442572,-47,14070,-102,1,133072
10164,"pseudo1",-87.383493654,53.7091525826,0,NA,140,0.4472136,604,35,46,0.07554969,-41,14237,-93,3,192333.5
10165,"pseudo1",-88.2334936983,49.5258190311,0,NA,256,0.9998477,814,39,31,0.06312417,-7,12653,-60,3,536940.5
10166,"pseudo1",-91.3584938613,49.3341523544,0,NA,472,-0.9408875,786,46,36,0.02320492,-8,13148,-51,2,741569.4
10167,"pseudo1",-85.0751602002,50.9508191054,0,NA,140,-0.8064049,839,53,27,0.1353065,-19,13559,-70,2,261349.9
10168,"pseudo1",-94.6251606983,52.1674858355,0,NA,347,-0.9534001,597,29,46,0.0886658,-20,14233,-57,2,545678.3
10169,"pseudo1",-91.8501605536,50.8008190976,0,NA,408,0.8320503,749,43,40,0.05588482,-14,13605,-56,2,638323.5
10170,"pseudo1",-82.3334933906,46.584152211,0,NA,428,-0.6222441,930,67,17,0.5532145,16,10974,-36,2,503960.1
10171,"pseudo1",-94.7001607022,51.5841524717,0,NA,370,-0.9889364,604,31,46,0.05188776,-15,14057,-51,2,611246.1
10172,"pseudo1",-91.8918272224,48.8758189972,0,NA,446,-0.7213874,721,47,37,0.1496669,0,13002,-41,1,801464.8
10173,"pseudo1",-88.2168270308,56.3924860558,0,NA,14,0.9486833,475,24,51,0.1210219,-66,14458,-123,3,11068.97
10174,"pseudo1",-81.49182668,50.2424857351,0,NA,120,0.9847836,860,45,26,0.6220232,-9,13062,-62,2,94187.05
10175,"pseudo1",-83.6501601259,50.9424857716,0,NA,108,0.8944271,810,48,25,0.05870429,-17,13513,-69,3,185690
10176,"pseudo1",-90.8168271664,50.8508191002,0,NA,387,-0.9761871,789,46,39,0.02320492,-19,13731,-67,3,589119.4
10177,"pseudo1",-90.1251604636,52.2591525069,0,NA,333,0.7943577,726,40,44,0.2645749,-32,14126,-82,2,436682.1
10178,"pseudo1",-79.9084932641,47.9758189502,0,NA,294,-0.9069115,848,48,22,1.137838,2,12483,-46,2,310387.2
10179,"pseudo1",-83.3084934414,46.9924855656,0,NA,426,-0.5072872,999,60,16,1.263345,11,11227,-41,2,479524.7
10180,"pseudo1",-88.2501603658,55.1424859907,0,NA,86,0.7071068,534,28,49,0.08366646,-55,14416,-109,2,104124.4
10181,"pseudo1",-89.5918271025,48.6758189867,0,NA,470,-0.08081594,763,46,31,0.5421056,-6,12183,-55,2,671800.4
10182,"pseudo1",-81.8834933671,50.4091524105,0,NA,85,0.1104316,841,45,26,0.3298002,-7,13152,-60,2,93222.05
10183,"pseudo1",-78.6584931989,44.7591521158,0,NA,286,-0.919145,958,64,11,0.2870266,42,10501,-6,2,667068.3
10184,"pseudo1",-84.5834935079,48.0591522879,0,NA,344,-0.7845318,974,52,20,1.612408,3,11375,-47,2,420073.4
10185,"pseudo1",-83.5668267882,54.1008192697,0,NA,89,0.9863939,518,22,55,0.121466,-51,13894,-110,2,75336.43
10186,"pseudo1",-89.4334937609,54.8924859776,0,NA,102,0.9863939,557,29,47,0.2368707,-53,14459,-104,2,169869.8
10187,"pseudo1",-92.7084939317,50.3008190715,0,NA,359,0.3939191,711,40,43,0,-2,13333,-38,3,721632.1
10188,"pseudo1",-84.7668268508,49.0924856751,0,NA,332,0.9209673,788,46,20,0.1982621,-11,12341,-62,1,345559.3
10189,"pseudo1",-83.8584934701,49.8674857155,0,NA,253,0.4418496,845,50,18,0.09281959,-15,13076,-66,2,240869
10190,"pseudo1",-89.1834937478,49.4008190245,0,NA,372,0.9976069,782,46,28,0.81714,-12,12908,-64,1,602168.8
10191,"pseudo1",-92.4751605862,52.4424858498,0,NA,344,-0.9993148,668,34,45,0.2569345,-28,14126,-71,2,501348.3
10192,"pseudo1",-87.4251603228,49.6258190363,0,NA,374,0.9701425,841,41,30,0.3630613,-17,12585,-66,2,483760.6
10193,"pseudo1",-83.5501601207,50.1341523961,0,NA,199,0.9701424,860,51,19,0.02075511,-14,13220,-65,2,206332.2
10194,"pseudo1",-90.1834938,53.9758192631,0,NA,218,0.7071068,613,32,45,0.02075511,-48,14453,-97,2,280645.2
10195,"pseudo1",-94.8584940438,49.7174857077,0,NA,364,-0.9103665,597,36,48,0.3655738,4,13595,-27,2,819283.1
10196,"pseudo1",-93.0168272811,49.2008190141,0,NA,399,-0.9991331,718,43,45,0.3480695,5,13064,-30,3,831465.3
10197,"pseudo1",-94.9418273815,49.6508190376,0,NA,365,0.8904347,592,36,49,0.4674406,4,13584,-28,2,827983.8
10198,"pseudo1",-94.958494049,50.6674857573,0,NA,370,-0.5356999,591,33,45,0.6706678,-4,13784,-37,2,715960.7
10199,"pseudo1",-92.2584939082,50.2674857364,0,NA,354,0.2747211,733,43,40,0.09567624,-3,13413,-42,3,703007.6
10200,"pseudo1",-81.8418266983,48.092485623,0,NA,376,-0.6507913,818,46,23,0.2924162,-3,12231,-54,1,332039.3
10201,"pseudo1",-85.6334935627,50.3424857403,0,NA,202,0.9284767,868,54,26,0.1353065,-17,13305,-68,2,333667.4
10202,"pseudo1",-87.0751603045,51.1591524496,0,NA,248,0.9805807,777,44,36,0.08557545,-24,13698,-74,1,377789.3
10203,"pseudo1",-89.6501604388,55.2758193309,0,NA,124,-0.8944272,541,28,47,0.1249621,-58,14481,-110,3,152526.3
10204,"pseudo1",-92.4751605862,53.9924859307,0,NA,245,-0.358979,601,30,47,0.3137356,-41,14519,-87,2,328281.2
10205,"pseudo1",-90.8584938352,51.4924858003,0,NA,375,0.4472136,764,43,41,0.05870429,-24,13924,-72,3,534433.6
10206,"pseudo1",-84.508493504,47.4258189215,0,NA,503,0.8545219,1079,55,18,1.610806,2,10780,-47,2,475629.5
10207,"pseudo1",-89.2584937518,56.2674860493,0,NA,95,0.8574929,495,25,48,0.09567624,-69,14541,-123,3,61340.89
10208,"pseudo1",-76.4668264179,44.3008187586,0,NA,96,0.9972678,968,72,12,1.040181,57,10355,8,4,747795.3
10209,"pseudo1",-88.1751603619,51.2091524522,0,NA,301,0.5547002,739,42,40,0.3874537,-25,13705,-76,2,448123.8
10210,"pseudo1",-87.6751603358,52.6424858603,0,NA,254,0.9986178,667,40,44,0.121466,-34,14082,-85,2,302399.8
