"siteid","spid","x","y","occ","group","age","deficit","dem","hillshade","mas","mat","r2pet","rain","slope","sseas","toxicats","tseas","vpd"
100052,"pseudo1",2639650,6519450,0,NA,2,51,25,164,1521,147,24,1369,3,7,1,74,36
100053,"pseudo1",2708250,6034850,0,NA,2,0,1020,194,1388,70,77,2765,22,3,1,249,17
100054,"pseudo1",2966150,6347050,0,NA,2,0,222,165,1515,134,35,1961,17,11,1,-11,52
100055,"pseudo1",2400050,5894450,0,NA,2,0,290,174,1323,105,72,2570,1,46,1,-111,23
100056,"pseudo1",2384950,5854550,0,NA,2,0,311,193,1306,103,81,2935,9,52,1,-31,22
100057,"pseudo1",2447950,5757250,0,NA,2,127,190,179,1391,109,19,799,0,-27,1,-173,47
100058,"pseudo1",2224050,5678650,0,NA,2,0,898,145,1316,75,133,4901,40,27,1,7,20
100059,"pseudo1",2820950,6132950,0,NA,2,138,126,167,1431,126,20,948,4,2,1,-108,43
100060,"pseudo1",2741150,6204950,0,NA,1,0,1071,175,1420,75,41,1673,1,4,1,107,26
100061,"pseudo1",2594050,6185750,0,NA,2,59,52,180,1471,132,27,1238,0,-27,1,149,33
100062,"pseudo1",2777550,6091450,0,NA,2,22,313,135,1375,115,32,1347,14,19,1,84,30
100063,"pseudo1",2533350,6674650,0,NA,2,59,9,180,1523,158,23,1391,0,59,1,60,39
100064,"pseudo1",2301250,5734850,0,NA,0,0,2230,37,1347,8,177,5583,34,25,0,329,11
100065,"pseudo1",2264350,5634950,0,NA,2,197,463,163,1388,93,13,571,4,-49,1,-318,48
100066,"pseudo1",2585550,6627750,0,NA,2,26,100,177,1482,147,31,1751,1,70,1,74,37
100067,"pseudo1",2097250,5564150,0,NA,2,0,1413,229,1236,37,145,3900,44,25,1,260,0
100068,"pseudo1",2734850,6043550,0,NA,2,15,236,153,1408,114,39,1573,10,-14,1,15,36
100069,"pseudo1",2713950,6011550,0,NA,2,43,72,179,1410,124,31,1270,0,-24,1,-38,38
100070,"pseudo1",2472650,5898350,0,NA,2,0,1433,92,1392,49,76,2470,24,9,1,-3,15
100071,"pseudo1",2826550,6105450,0,NA,2,91,107,193,1406,128,25,1126,3,15,1,0,39
100072,"pseudo1",2843350,6307150,0,NA,2,4,210,186,1494,126,28,1442,2,6,1,-248,35
100073,"pseudo1",2716450,6191850,0,NA,2,7,639,175,1415,98,33,1415,8,0,1,20,33
100074,"pseudo1",2751950,6022250,0,NA,2,134,154,191,1408,121,29,1119,10,-16,1,-17,39
100075,"pseudo1",2150550,5547450,0,NA,2,0,1543,134,1319,33,59,1712,14,-15,1,201,15
100076,"pseudo1",2619550,6190050,0,NA,2,26,157,175,1463,124,31,1392,2,-25,1,91,32
100077,"pseudo1",2796850,6063650,0,NA,2,40,217,161,1381,122,30,1293,9,20,1,142,33
100078,"pseudo1",2419950,5939250,0,NA,2,0,305,205,1369,106,72,2776,25,26,1,-32,24
100079,"pseudo1",2768750,6236050,0,NA,2,0,818,169,1440,92,45,1974,13,9,1,22,29
100080,"pseudo1",2234850,5515450,0,NA,2,76,716,162,1304,70,20,705,7,-19,1,-150,34
100081,"pseudo1",2688250,5992750,0,NA,2,0,85,169,1409,123,49,1948,15,-21,1,72,36
100082,"pseudo1",2108150,5334950,0,NA,2,0,148,189,1169,90,65,1884,5,10,1,262,18
100083,"pseudo1",2131650,5548050,0,NA,2,0,1245,133,1294,47,55,1625,25,-9,1,156,16
100084,"pseudo1",2224150,5618650,0,NA,2,14,938,98,1380,71,33,1166,20,-47,1,-90,35
100085,"pseudo1",2674950,6004050,0,NA,2,18,154,166,1420,120,35,1423,12,-27,1,93,33
100086,"pseudo1",2362250,5828850,0,NA,2,0,148,184,1303,110,93,3564,2,49,1,6,24
100087,"pseudo1",2183550,5458850,0,NA,2,44,118,179,1255,100,26,881,0,-6,1,-60,37
100088,"pseudo1",2816550,6107050,0,NA,2,118,60,177,1408,131,23,1038,1,11,1,-40,40
100089,"pseudo1",2072450,5557150,0,NA,2,0,1050,114,1209,54,181,5290,28,39,1,224,0
100090,"pseudo1",2493150,5908650,0,NA,2,0,1120,129,1452,66,50,1972,21,-32,1,-119,30
100091,"pseudo1",2752450,6201250,0,NA,2,3,1023,144,1424,79,33,1378,17,3,1,96,29
100092,"pseudo1",2712050,6054650,0,NA,2,0,510,241,1400,96,45,1819,28,0,1,120,25
100093,"pseudo1",2475950,6050150,0,NA,2,0,80,184,1486,124,70,3180,3,-31,1,-8,33
100094,"pseudo1",2235450,5534150,0,NA,2,108,820,198,1331,66,20,683,8,-41,1,-229,36
100095,"pseudo1",2621150,6567550,0,NA,2,44,60,162,1505,148,25,1412,4,32,1,124,36
100096,"pseudo1",2247850,5406850,0,NA,2,6,135,174,1198,95,36,1061,4,23,1,181,27
100097,"pseudo1",2611850,6010350,0,NA,2,0,327,77,1452,110,49,2011,26,-24,1,236,29
100098,"pseudo1",2671550,6004150,0,NA,2,7,314,131,1411,110,37,1445,12,-18,1,176,28
100099,"pseudo1",2062950,5540550,0,NA,2,0,510,241,1216,78,144,4503,32,22,1,156,10
100100,"pseudo1",2563150,6662650,0,NA,2,33,20,181,1505,154,29,1674,0,65,1,-7,39
100101,"pseudo1",2487350,5890450,0,NA,0,0,1097,180,1452,67,40,1594,0,-39,0,-119,35
100102,"pseudo1",2109350,5625950,0,NA,2,0,205,230,1243,97,160,5965,22,50,1,90,11
100103,"pseudo1",2324450,5777250,0,NA,2,0,988,229,1259,72,200,6327,28,73,1,8,3
100104,"pseudo1",2693850,6137950,0,NA,2,103,57,190,1464,130,19,958,8,-37,1,9,42
100105,"pseudo1",2185750,5518550,0,NA,2,0,1304,187,1312,44,51,1517,8,-19,1,97,25
100106,"pseudo1",2469350,5979750,0,NA,2,0,920,88,1463,77,60,2266,26,-24,1,-52,23
100107,"pseudo1",2365850,5738150,0,NA,2,67,677,182,1387,87,22,975,1,-20,1,-86,46
100108,"pseudo1",2794450,6244350,0,NA,2,2,738,152,1453,96,33,1490,7,2,1,-9,31
100109,"pseudo1",2463950,5981250,0,NA,2,0,1080,231,1441,69,71,2560,30,-6,1,-20,17
100110,"pseudo1",2776150,6277450,0,NA,2,24,460,173,1466,114,26,1223,2,-2,1,-64,32
100111,"pseudo1",2041850,5479050,0,NA,2,0,825,68,1188,59,147,3858,33,22,1,272,5
100112,"pseudo1",2701350,6264650,0,NA,2,0,366,183,1407,118,37,1687,17,16,1,-56,29
100113,"pseudo1",2517450,5908550,0,NA,2,0,2022,193,1465,20,58,2045,25,-41,1,195,18
100114,"pseudo1",2354250,5689450,0,NA,2,0,905,237,1321,76,32,1190,22,25,1,-32,28
100115,"pseudo1",2784050,6299950,0,NA,2,19,338,136,1472,120,26,1271,23,6,1,-166,34
100116,"pseudo1",2283550,5696350,0,NA,0,3,524,178,1444,93,32,1489,0,-63,0,-218,52
100117,"pseudo1",2685950,6267250,0,NA,2,0,237,133,1416,126,40,1859,12,12,1,-58,30
100118,"pseudo1",2588750,6633750,0,NA,2,10,335,182,1478,136,33,1810,11,75,1,187,32
100119,"pseudo1",2745750,6383750,0,NA,2,45,44,183,1491,139,23,1228,1,13,1,-72,38
100120,"pseudo1",2298650,5765550,0,NA,2,0,213,241,1273,105,126,4656,31,59,1,-111,20
100121,"pseudo1",2501350,6010750,0,NA,2,0,648,165,1531,93,51,2027,21,-67,1,-48,35
100122,"pseudo1",2249650,5649650,0,NA,2,0,1613,159,1368,38,57,1793,17,-22,1,159,25
100123,"pseudo1",2113550,5438150,0,NA,2,0,387,167,1242,83,45,1320,15,-13,1,95,29
100124,"pseudo1",2591850,6570150,0,NA,2,58,77,189,1491,145,23,1273,2,43,1,95,34
100125,"pseudo1",2320350,5725950,0,NA,2,0,930,212,1422,77,36,1546,11,-42,1,-62,44
100126,"pseudo1",2645150,6468850,0,NA,2,2,384,172,1513,126,35,1822,10,0,1,151,28
100127,"pseudo1",2695650,6227650,0,NA,2,0,209,163,1412,124,38,1718,11,2,1,-158,34
100128,"pseudo1",2217050,5669750,0,NA,2,0,555,108,1342,91,102,4060,23,3,1,-47,30
100129,"pseudo1",2816450,6137450,0,NA,2,114,214,126,1431,122,20,961,12,3,1,-97,42
100130,"pseudo1",2859550,6273850,0,NA,2,0,1044,214,1466,84,54,2374,12,17,1,164,23
100131,"pseudo1",2774050,6333750,0,NA,2,0,521,199,1477,112,41,1983,10,19,1,15,28
100132,"pseudo1",2665550,6341250,0,NA,2,29,54,199,1451,138,32,1591,8,13,1,17,32
100133,"pseudo1",2973150,6356850,0,NA,1,1,81,177,1519,142,37,2143,1,12,1,-43,54
100134,"pseudo1",2736150,6080950,0,NA,2,2,259,178,1403,114,32,1382,14,-4,1,65,31
100135,"pseudo1",2711050,6200050,0,NA,2,0,607,181,1412,100,38,1599,1,1,1,19,31
100136,"pseudo1",2128750,5581050,0,NA,2,0,1580,251,1261,31,129,3486,35,26,1,241,1
100137,"pseudo1",2103950,5590750,0,NA,2,0,475,217,1239,84,155,5487,49,39,1,84,9
100138,"pseudo1",2317550,5485950,0,NA,2,0,348,206,1244,89,33,1166,15,19,1,203,37
100139,"pseudo1",2767350,6096750,0,NA,2,40,127,178,1380,125,28,1231,0,14,1,-8,33
100140,"pseudo1",2787050,6353450,0,NA,2,0,504,130,1503,114,45,2289,10,14,1,35,32
100141,"pseudo1",2157750,5408950,0,NA,2,10,21,181,1236,100,33,1075,0,-17,1,59,31
100142,"pseudo1",2920450,6298250,0,NA,2,59,248,132,1489,128,21,1178,15,15,1,-49,48
100143,"pseudo1",2413150,5738650,0,NA,2,46,302,177,1393,106,20,978,0,-29,1,-42,47
100144,"pseudo1",2400350,5927050,0,NA,2,0,902,200,1325,76,121,4248,21,57,1,27,6
100145,"pseudo1",2713650,6298850,0,NA,2,0,324,182,1425,122,36,1678,7,20,1,-47,29
100146,"pseudo1",2356650,5789650,0,NA,2,0,1843,242,1282,27,305,8699,29,64,1,203,0
100147,"pseudo1",2768450,6122450,0,NA,2,0,764,243,1390,89,39,1625,31,13,1,203,26
100148,"pseudo1",2746850,6216050,0,NA,1,0,951,175,1423,83,52,2166,2,9,1,65,28
100149,"pseudo1",2642150,6511750,0,NA,2,46,36,192,1523,146,26,1429,4,3,1,64,35
100150,"pseudo1",2468250,5999950,0,NA,2,0,990,224,1464,74,70,2615,31,-18,1,-11,20
100151,"pseudo1",2056250,5516750,0,NA,2,0,1000,198,1194,54,168,4570,36,31,1,264,0
100152,"pseudo1",2142450,5420450,0,NA,2,17,12,179,1243,100,32,1022,0,-19,1,0,33
100153,"pseudo1",2248250,5470050,0,NA,2,46,168,169,1250,97,23,817,7,9,1,-39,38
100154,"pseudo1",2403050,5886750,0,NA,1,0,138,181,1324,112,48,1683,0,43,1,-164,28
100155,"pseudo1",2354550,5614050,0,NA,2,138,100,179,1289,107,14,617,0,33,1,-102,41
100156,"pseudo1",2725550,6346950,0,NA,2,31,106,179,1460,132,26,1290,4,12,1,-130,32
100157,"pseudo1",2778650,6158150,0,NA,2,0,1057,157,1420,77,38,1610,26,7,1,207,29
100158,"pseudo1",2594950,5934050,0,NA,2,224,190,177,1501,120,15,825,10,-69,1,-46,63
100159,"pseudo1",2066750,5525350,0,NA,2,0,815,168,1214,63,142,4009,24,17,1,211,9
100160,"pseudo1",2593350,6620250,0,NA,2,24,168,175,1478,143,31,1710,9,71,1,75,37
100161,"pseudo1",2795450,6182450,0,NA,2,18,622,197,1478,104,29,1434,25,-15,1,8,47
100162,"pseudo1",2466150,5785050,0,NA,2,102,271,168,1407,106,21,914,5,-30,1,-112,49
100163,"pseudo1",2661750,6331550,0,NA,2,29,19,173,1447,140,31,1558,11,15,1,16,31
100164,"pseudo1",2859250,6318250,0,NA,2,0,187,194,1493,128,38,1937,25,14,1,-239,33
100165,"pseudo1",2405950,5739650,0,NA,0,46,258,179,1386,108,19,979,0,-23,0,-72,50
100166,"pseudo1",2500950,5716550,0,NA,2,114,203,194,1386,115,26,1039,13,-37,1,134,46
100167,"pseudo1",2593650,5968050,0,NA,1,268,1,180,1503,126,15,683,0,-60,1,-158,46
100168,"pseudo1",2780150,6179150,0,NA,2,15,891,177,1437,88,28,1240,7,0,1,103,35
100169,"pseudo1",2452150,5943650,0,NA,2,0,1035,54,1392,70,76,2595,36,16,1,-50,15
100170,"pseudo1",2292450,5531650,0,NA,1,105,244,186,1297,95,15,629,2,-6,1,-168,42
100171,"pseudo1",2791650,6070650,0,NA,2,105,57,165,1390,131,25,1114,4,13,1,79,38
100172,"pseudo1",2324250,5660350,0,NA,2,20,665,161,1325,85,22,897,20,20,1,-195,37
100173,"pseudo1",2549550,6703550,0,NA,2,68,118,163,1530,154,23,1400,11,61,1,172,37
100174,"pseudo1",2531050,5854550,0,NA,2,8,602,107,1449,94,32,1339,19,-50,1,-108,51
100175,"pseudo1",2520550,5966550,0,NA,2,0,828,244,1504,83,43,1812,28,-53,1,-114,28
100176,"pseudo1",2445850,5952050,0,NA,2,0,968,246,1387,73,87,3026,27,22,1,-41,14
100177,"pseudo1",2643450,6189450,0,NA,2,2,209,176,1449,121,36,1619,9,-20,1,12,32
100178,"pseudo1",2191050,5584450,0,NA,2,2,1245,109,1381,52,38,1210,22,-55,1,15,27
100179,"pseudo1",2139550,5546950,0,NA,2,0,1010,157,1328,60,43,1418,25,-31,1,62,24
100180,"pseudo1",2223150,5637050,0,NA,1,54,358,182,1404,101,26,1092,3,-61,1,-160,46
100181,"pseudo1",2554450,5882650,0,NA,2,0,1438,243,1458,52,49,1926,28,-47,1,55,37
100182,"pseudo1",2069150,5466950,0,NA,2,0,620,157,1240,71,62,1737,36,-15,1,189,23
100183,"pseudo1",2166350,5588750,0,NA,2,0,1128,148,1384,57,43,1424,24,-54,1,43,27
100184,"pseudo1",2939550,6347950,0,NA,2,0,963,99,1481,94,64,3150,23,42,1,201,26
100185,"pseudo1",2651250,6467150,0,NA,2,19,96,122,1515,141,32,1717,16,-2,1,56,35
100186,"pseudo1",2546050,5865650,0,NA,2,75,196,128,1464,115,24,1146,12,-59,1,-35,60
100187,"pseudo1",2366550,5687150,0,NA,2,0,209,178,1331,102,23,1040,1,11,1,-210,40
100188,"pseudo1",2455150,5791950,0,NA,2,0,1013,237,1390,71,38,1445,22,-14,1,0,35
100189,"pseudo1",2271650,5723650,0,NA,2,0,942,199,1287,75,158,5549,16,56,1,-42,14
100190,"pseudo1",2805450,6209450,0,NA,2,0,860,92,1494,92,45,2221,23,-17,1,62,47
100191,"pseudo1",2342050,5753750,0,NA,2,0,1410,230,1385,51,56,2152,33,-10,1,95,32
100192,"pseudo1",2391250,5835950,0,NA,2,0,161,185,1306,110,93,3574,2,50,1,-63,27
100193,"pseudo1",2723550,6338750,0,NA,2,21,118,176,1453,131,28,1368,3,15,1,-140,32
100194,"pseudo1",2422050,5768550,0,NA,2,3,558,150,1384,94,27,1186,11,-15,1,-78,44
100195,"pseudo1",2353950,5701950,0,NA,2,21,650,192,1338,87,24,948,24,14,1,-136,36
100196,"pseudo1",2366250,5758150,0,NA,2,0,1520,121,1377,44,41,1535,23,-5,1,127,29
100197,"pseudo1",2467950,5923950,0,NA,2,0,928,224,1393,75,62,2158,25,11,1,-122,19
100198,"pseudo1",2402750,5859850,0,NA,2,0,254,188,1311,106,68,2475,2,49,1,-132,25
100199,"pseudo1",2088150,5590350,0,NA,2,0,302,187,1223,90,170,5989,9,47,1,92,8
100200,"pseudo1",2534450,5871950,0,NA,2,0,1061,201,1456,71,41,1627,27,-50,1,-90,44
100201,"pseudo1",2480350,5996550,0,NA,2,0,1133,250,1494,67,65,2384,34,-41,1,0,24
100202,"pseudo1",2576750,6586550,0,NA,2,56,99,172,1485,143,24,1347,2,54,1,85,34
100203,"pseudo1",2774950,6340150,0,NA,2,0,549,179,1480,111,44,2125,2,21,1,26,28
100204,"pseudo1",2695550,6048050,0,NA,2,23,152,157,1409,119,28,1241,11,-5,1,73,31
100205,"pseudo1",2172250,5563250,0,NA,0,186,308,180,1421,100,18,688,0,-91,0,-170,43
100206,"pseudo1",2557750,6687050,0,NA,2,22,159,194,1519,151,28,1675,4,65,1,133,35
100207,"pseudo1",2052450,5448850,0,NA,2,0,773,109,1213,61,83,2181,38,-1,1,272,15
100208,"pseudo1",2753150,6003150,0,NA,2,122,126,173,1412,124,31,1229,5,-21,1,11,41
100209,"pseudo1",2750550,6228450,0,NA,2,0,660,179,1432,101,50,2243,2,11,1,-20,32
100210,"pseudo1",2293550,5512150,0,NA,2,162,299,179,1278,91,13,521,1,2,1,-57,40
100211,"pseudo1",2715550,6277350,0,NA,2,5,338,161,1416,121,33,1521,8,17,1,-67,30
100212,"pseudo1",2591650,6619750,0,NA,2,27,119,214,1480,146,30,1684,11,69,1,54,38
100213,"pseudo1",2254750,5550950,0,NA,2,175,560,192,1340,79,13,524,15,-39,1,-293,41
100214,"pseudo1",2455050,5949750,0,NA,2,0,513,232,1418,95,55,2126,26,-3,1,-108,27
100215,"pseudo1",2314250,5709950,0,NA,1,110,735,183,1442,85,21,911,1,-63,1,-155,49
100216,"pseudo1",2597850,6585150,0,NA,2,51,49,186,1489,147,24,1363,6,49,1,74,36
100217,"pseudo1",2615650,6215650,0,NA,2,0,348,180,1463,115,78,3482,1,-25,1,104,27
100218,"pseudo1",2111950,5637450,0,NA,0,0,5,180,1272,106,139,5576,0,31,0,87,20
100219,"pseudo1",2625850,6657550,0,NA,2,56,192,177,1505,146,26,1479,19,61,1,94,34
100220,"pseudo1",2265050,5550350,0,NA,2,71,860,151,1328,66,19,713,15,-27,1,-169,35
100221,"pseudo1",2406450,5721350,0,NA,2,88,238,179,1398,107,18,845,0,-38,1,-102,48
100222,"pseudo1",2778850,6029850,0,NA,2,130,43,179,1405,133,25,1089,12,-1,1,208,41
100223,"pseudo1",2757250,6255850,0,NA,0,21,357,180,1449,120,27,1318,0,6,0,-86,37
100224,"pseudo1",2672650,6268750,0,NA,2,0,382,182,1422,117,48,2184,11,13,1,34,25
100225,"pseudo1",2709350,6142650,0,NA,2,70,91,196,1449,127,21,1029,7,-29,1,-59,40
100226,"pseudo1",2841150,6209950,0,NA,2,1,540,155,1487,113,34,1773,8,-3,1,95,44
100227,"pseudo1",2759050,6383550,0,NA,2,37,32,180,1500,141,28,1545,0,13,1,-43,40
100228,"pseudo1",2514950,5925750,0,NA,2,0,1138,22,1475,66,45,1811,36,-44,1,-109,29
100229,"pseudo1",2764650,6281850,0,NA,2,16,521,188,1456,112,29,1354,10,5,1,25,30
100230,"pseudo1",2106150,5427450,0,NA,2,0,88,153,1240,96,40,1222,4,-18,1,20,32
100231,"pseudo1",2690750,6214650,0,NA,2,0,335,246,1418,116,43,1885,19,-2,1,-115,33
100232,"pseudo1",2372150,5705350,0,NA,2,0,340,179,1358,99,23,1064,1,-4,1,-170,41
100233,"pseudo1",2329350,5536250,0,NA,2,44,415,123,1272,87,22,814,21,16,1,23,33
100234,"pseudo1",2365250,5595750,0,NA,2,174,2,179,1285,110,13,577,0,28,1,-63,42
100235,"pseudo1",2787550,6285450,0,NA,2,12,444,174,1471,114,27,1306,4,1,1,-134,33
100236,"pseudo1",2262750,5559050,0,NA,2,59,915,164,1333,64,21,765,6,-29,1,-148,34
100237,"pseudo1",2571450,6597250,0,NA,2,64,59,141,1483,145,27,1474,7,60,1,55,36
100238,"pseudo1",2260950,5635450,0,NA,1,170,505,181,1389,92,14,625,2,-50,1,-297,47
100239,"pseudo1",2780950,6151650,0,NA,2,0,834,88,1432,89,43,1903,21,0,1,163,35
100240,"pseudo1",2720350,6395850,0,NA,2,69,30,180,1483,139,22,1136,0,10,1,-102,36
100241,"pseudo1",2172750,5556650,0,NA,0,176,309,180,1411,99,18,692,0,-88,0,-170,44
100242,"pseudo1",2739950,5979350,0,NA,2,85,223,167,1412,119,34,1351,14,-22,1,93,40
100243,"pseudo1",2290350,5562350,0,NA,2,196,454,175,1335,87,11,491,2,-27,1,-186,42
100244,"pseudo1",2032750,5485450,0,NA,2,0,685,141,1188,67,149,4092,40,23,1,250,6
100245,"pseudo1",2406850,5833250,0,NA,2,0,990,182,1300,71,129,4228,26,55,1,-30,12
100246,"pseudo1",2114850,5591250,0,NA,2,0,825,119,1251,69,144,4757,49,33,1,109,7
100247,"pseudo1",2966050,6386850,0,NA,2,0,171,167,1504,139,36,2091,6,37,1,67,40
100248,"pseudo1",2897650,6302750,0,NA,2,0,706,77,1479,103,48,2334,21,23,1,78,32
100249,"pseudo1",2703650,6054450,0,NA,2,11,128,187,1408,121,30,1314,4,-4,1,52,32
100250,"pseudo1",2809550,6093050,0,NA,2,87,120,207,1398,128,26,1170,9,14,1,30,38
100251,"pseudo1",2708150,6320150,0,NA,2,8,130,185,1436,131,29,1435,3,19,1,-110,32
100252,"pseudo1",2474850,5951550,0,NA,2,0,930,144,1448,75,56,2094,16,-21,1,-92,25
100253,"pseudo1",2235550,5507250,0,NA,2,45,653,166,1291,74,21,757,7,-9,1,-111,33
100254,"pseudo1",2415550,5839950,0,NA,2,0,778,23,1309,81,107,3713,38,50,1,-74,18
100255,"pseudo1",2762850,6330550,0,NA,2,2,345,190,1470,121,35,1706,7,15,1,-87,31
100256,"pseudo1",2299850,5476450,0,NA,1,108,14,180,1243,103,17,668,0,18,1,-101,43
100257,"pseudo1",2836550,6294650,0,NA,2,10,330,126,1482,118,25,1257,15,8,1,-226,32
100258,"pseudo1",2725050,6209050,0,NA,2,0,1276,128,1405,63,67,2551,12,13,1,161,17
100259,"pseudo1",2756950,6137150,0,NA,2,20,469,226,1402,107,31,1313,9,3,1,57,31
100260,"pseudo1",2297450,5554450,0,NA,2,182,424,194,1320,88,12,512,5,-18,1,-146,41
100261,"pseudo1",2729450,5975150,0,NA,2,56,332,157,1411,112,37,1426,10,-21,1,135,38
100262,"pseudo1",2482950,6078050,0,NA,2,0,12,186,1487,131,42,1845,2,-32,1,59,35
100263,"pseudo1",2700850,6211550,0,NA,2,0,417,179,1414,111,40,1744,14,0,1,-73,32
100264,"pseudo1",2084850,5597650,0,NA,2,0,626,154,1218,76,190,6315,22,53,1,157,1
100265,"pseudo1",2567750,5907150,0,NA,2,30,880,57,1485,83,26,1197,29,-62,1,-74,49
100266,"pseudo1",2345150,5747750,0,NA,2,0,1270,206,1394,59,45,1781,28,-19,1,52,37
100267,"pseudo1",2854550,6286450,0,NA,2,0,746,192,1470,98,34,1615,14,17,1,60,25
